Code,Name,Sales Price,Actual Quantity,Free Stock Quantity,Standard Cost,Manufacturer,Quantity on POP Order,Inactive Date
SPICUR01,Triple Lion Mild Curry Powder 450gm,3.80000,0.00000,0.00000,2.33000,SPL001,0.00000,18/10/2023
SPICUR01A,Triple Lion Mild Curry Powder 500gm,4.25000,13.00000,13.00000,2.42166,SPL001,12.00000,
SPICUR02,East End Mild Curry Powder 300gm,3.60000,0.00000,0.00000,2.50000,OCA001,0.00000,20/06/2023
SPICUR03,Queenswood Medium Curry Powder 500gm,3.80000,0.00000,0.00000,1.69000,HUN001,0.00000,02/09/2023
SPICUR04,Chef Selections Madras Curry Powder 500gm,4.25000,0.00000,0.00000,2.52000,HUN001,0.00000,17/09/2024
SPICUR05,Khanum Hot Madras Curry Powder 1kg,4.65000,0.00000,0.00000,3.20166,SOP001,0.00000,14/01/2025
SPIDUK01,Old India Dukka Spice 500gm - Clearance,4.47000,4.00000,4.00000,4.25000,FGS001,0.00000,
SPIFAJ001,Triple Lion Fajita Seasoning 600gm,6.85000,4.00000,4.00000,2.74333,SPL001,0.00000,
SPIFEN01,Triple Lion Fennel Seeds 350gm,4.40000,0.00000,0.00000,2.17833,SPL001,0.00000,25/08/2025
SPIFEN02,Khanum Fennel Seeds 800gm,10.05000,0.00000,0.00000,3.25000,SOP001,0.00000,28/03/2024
SPIFEN03,Old India Fenugreek Seeds 800gm,3.00000,0.00000,0.00000,2.05000,FGS001,0.00000,
SPIFEN04,Old India Ground Fenugreek 500gm,2.75000,2.00000,2.00000,1.89000,FGS001,0.00000,
SPIFEN05,Chef William Fennel Seeds 330gm,4.40000,0.00000,0.00000,2.16666,SLE001,30.00000,
SPIFEN06,Old India Fenugreek Leaves 500gm,4.85000,8.00000,8.00000,3.25000,FGS001,0.00000,
SPIGAR01,Triple Lion Garam Masala 450gm,5.30000,0.00000,0.00000,3.00330,SPL001,0.00000,
SPIGAR02,Chef William Garam Masala 405gm,4.80000,10.00000,10.00000,2.73333,SLE001,0.00000,
SPIGIN01,Triple Lion Ground Ginger 450gm,5.05000,5.00000,5.00000,3.05830,SPL001,0.00000,
