(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL000000,977,8,738,15,"1,715",23,0.29%,0.19%,0.31%,0.09%,0.30%,0.11%,"1,371",9,932,24,"2,303",33,0.31%,0.16%,0.30%,0.11%,0.31%,0.12%,19.41%,4.76%,127,2,7.41%,8.70%,"£3,160.10",£49.72,124,2
B0D8C3WGTL,B0D8C3WGTL,Nielsen Massey - Pure Almond Extract - 60ml (2),ESS13 - 010 Prime,144,1,149,4,293,5,0.04%,0.02%,0.06%,0.02%,0.05%,0.02%,185,3,190,4,375,7,0.04%,0.05%,0.06%,0.02%,0.05%,0.03%,97.37%,100.00%,127,5,43.34%,100.00%,"£1,521.46",£59.90,124,4
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,363,2,201,7,564,9,0.11%,0.05%,0.08%,0.04%,0.10%,0.04%,479,3,256,7,735,10,0.11%,0.05%,0.08%,0.03%,0.10%,0.04%,94.97%,83.33%,128,4,22.70%,44.44%,"£2,494.72",£77.96,116,4
B0BQZ3GQTF,B0BQZ3GQTF,Centaur Dijon Mustard 1kg,MUSTAR03 - 001,103,3,103,3,206,6,0.03%,0.07%,0.04%,0.02%,0.04%,0.03%,135,4,134,4,269,8,0.03%,0.07%,0.04%,0.02%,0.04%,0.03%,94.14%,100.00%,116,7,56.31%,116.67%,"£1,630.13",£98.74,111,6
B08TM1BDC6,B08TM1BDC6,"Lefktro Extra Virgin Olive Oil 5L, Pure Spanish Olive Oil, Perfect For Everyday Cooking, Marinades And Salad Dressings, Great Store Cupboard Staple, 1 x 5 Litre Bottle",OIL02G - 002 Prime,474,9,413,14,887,23,0.14%,0.22%,0.17%,0.09%,0.15%,0.11%,658,12,560,24,"1,218",36,0.15%,0.21%,0.18%,0.11%,0.16%,0.13%,97.20%,100.00%,115,5,12.97%,21.74%,"£4,232.55",£184.95,110,4
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,ELSIN001 - 001,350,6,242,11,592,17,0.10%,0.15%,0.10%,0.07%,0.10%,0.08%,457,9,309,13,766,22,0.10%,0.16%,0.10%,0.06%,0.10%,0.08%,98.37%,100.00%,121,11,20.44%,64.71%,"£1,148.29",£104.39,110,6
B0D92SJGNN,B0D92T6K1P, ,CLE01HA - 001,318,7,229,18,547,25,0.09%,0.17%,0.10%,0.11%,0.10%,0.12%,433,7,289,21,722,28,0.10%,0.12%,0.09%,0.09%,0.10%,0.10%,96.26%,85.71%,113,12,20.66%,48.00%,"£2,407.21",£255.32,104,6
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10,125,3,207,10,332,13,0.04%,0.07%,0.09%,0.06%,0.06%,0.06%,187,6,264,14,451,20,0.04%,0.11%,0.09%,0.06%,0.06%,0.07%,91.34%,100.00%,108,10,32.53%,76.92%,"£2,015.48",£187.99,98,9
B0DZDVXYD1,B0DZDVXYD1,"Crusha Bundle - Banana, Chocolate & Strawberry - 3 x 500ml",Bundle - 216 Prime,334,0,233,1,567,1,0.10%,0.00%,0.10%,0.01%,0.10%,0.00%,418,0,290,1,708,1,0.10%,0.00%,0.09%,0.00%,0.09%,0.00%,95.44%,100.00%,101,1,17.81%,100.00%,"£1,149.91",£11.26,98,1
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,75,4,66,1,141,5,0.02%,0.10%,0.03%,0.01%,0.02%,0.02%,112,7,87,1,199,8,0.03%,0.12%,0.03%,0.00%,0.03%,0.03%,98.33%,100.00%,130,35,92.20%,700.00%,"£1,200.60",£323.14,95,15
