(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CBKJHFBT,B0CBKJHFBT,Triple Lion Puy Type Dark Speckled Lentils 3kg,LEN02 - 001,52,3,55,3,107,6,0.02%,0.07%,0.02%,0.02%,0.02%,0.03%,63,3,71,5,134,8,0.01%,0.05%,0.02%,0.02%,0.02%,0.03%,22.76%,0.00%,12,5,11.21%,83.33%,£193.68,£80.70,9,4
B0CD7W81FQ,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",CRUSHA003 - 003,90,0,62,2,152,2,0.03%,0.00%,0.03%,0.01%,0.03%,0.01%,127,0,83,6,210,6,0.03%,0.00%,0.03%,0.03%,0.03%,0.02%,98.38%,100.00%,9,0,5.92%,0.00%,£84.82,£0.00,9,0
B0CMXX69BB,B0CMXX69BB,Thai Taste Red & Green Curry Paste 400g,Bundle - 153 Prime,97,1,60,1,157,2,0.03%,0.02%,0.03%,0.01%,0.03%,0.01%,133,1,95,1,228,2,0.03%,0.02%,0.03%,0.00%,0.03%,0.01%,14.71%,0.00%,9,0,5.73%,0.00%,£100.35,£0.00,9,0
B0CV19WHFW,B0CV19WHFW,Meadowchurn - UHT SEMI SKIMMED Milk Portions - 150 x 13.5ml (BBE 11/08/2025),UHT01BB - 002 Prime,8,0,12,1,20,1,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,13,0,14,1,27,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,10,0,50.00%,0.00%,£120.40,£0.00,9,0
B0CVLG4MT9,B0CVLBZ4FY,"Taylors Tea 1 x 20 Bags (6, Lemon & Ginger Infusion)",TAYLOR001 - 003 Prime,20,1,19,0,39,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.00%,25,1,25,0,50,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.00%,100.00%,0.00%,11,0,28.21%,0.00%,£200.15,£0.00,9,0
B0CVQJFJRY,B0CVQJFJRY,Caterers Pride Tomato Ketchup 4.3kg,CON12 - 001 Prime,33,0,23,0,56,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,48,0,25,0,73,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,96.72%,0.00%,9,0,16.07%,0.00%,£112.23,£0.00,9,0
B0D33Q4M3W,B0D33Q4M3W,"Menz & Gasser - Jam Portions (Plastic) (100 x 20gm, Strawberry)",JAM03C - 002 Prime,18,0,14,2,32,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,28,0,20,5,48,5,0.01%,0.00%,0.01%,0.02%,0.01%,0.02%,100.00%,100.00%,10,4,31.25%,200.00%,£155.30,£62.12,9,3
B0D6NG6KN5,B0D6NG6KN5,Belazu - Preserved Beldi Pickled Lemons - 360gm (Pack of 2),MED19B - 007 Prime,11,0,18,0,29,0,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,12,0,20,0,32,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,90.63%,0.00%,9,0,31.03%,0.00%,£101.61,£0.00,9,0
B0D96DMTZ6,B0D96DMTZ6,Lee Kum Kee Premium 500ml | 2x Dark Soy Sauce | Dark Cooking Soy Sauce 500ml,SOY03 - 002 Prime,243,5,170,2,413,7,0.07%,0.12%,0.07%,0.01%,0.07%,0.03%,315,5,212,3,527,8,0.07%,0.09%,0.07%,0.01%,0.07%,0.03%,16.56%,50.00%,9,0,2.18%,0.00%,£89.55,£0.00,9,0
B0D9YQ3VQH,B0D9YQ3VQH,Parkers Foodservice Taylors of Harrogate - 8 Window Wooden Presentation Box (Tea not included),TAYLOR099 - 001 Prime,18,0,37,8,55,8,0.01%,0.00%,0.02%,0.05%,0.01%,0.04%,31,0,50,12,81,12,0.01%,0.00%,0.02%,0.05%,0.01%,0.04%,96.00%,100.00%,10,3,18.18%,37.50%,£314.39,£95.31,9,2
B0DBM88GSP,B0DBM88GSP,Chef William - Panko Breadcrumbs - 1kg,PANKO003 - 001 Prime,13,0,24,4,37,4,0.00%,0.00%,0.01%,0.02%,0.01%,0.02%,14,0,31,4,45,4,0.00%,0.00%,0.01%,0.02%,0.01%,0.01%,97.73%,100.00%,9,1,24.32%,25.00%,£67.05,£7.45,9,1
B0DXL8V4R1,B0DTV3V3TZ,Jersey Dairy Jersey Dairy Luxury Chocolate Ice Cream Mix x 1 Litre,UHT31C - 001 Prime,422,10,224,9,646,19,0.12%,0.24%,0.09%,0.06%,0.11%,0.09%,519,12,295,13,814,25,0.12%,0.21%,0.09%,0.06%,0.11%,0.09%,9.66%,7.69%,10,0,1.55%,0.00%,£116.10,£0.00,9,0
B0F224RD7G,B0F224RD7G,Bulky Soft - White 2ply Cocktail Napkins - 2000 x 24cm x 24cm - (32196),NAPKIN107 - 001 Prime,14,1,11,4,25,5,0.00%,0.02%,0.00%,0.02%,0.00%,0.02%,23,1,13,5,36,6,0.01%,0.02%,0.00%,0.02%,0.00%,0.02%,100.00%,100.00%,12,0,48.00%,0.00%,£255.54,£0.00,9,0
B0F3JPX7KP,B0F3JPX7KP,Alpen Original Muesli 950gm (Pack of 6),CER26A - 001 Prime,14,0,21,0,35,0,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,17,0,21,0,38,0,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,77.78%,0.00%,9,0,25.71%,0.00%,£272.06,£0.00,9,0
B0CH1LNQ4Y,B000EGEWCC,"MONIN Premium Chocolate Syrup 700ml for Coffee and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",MONINS05,"1,209",13,492,12,"1,701",25,0.36%,0.32%,0.21%,0.07%,0.30%,0.12%,"1,353",13,587,15,"1,940",28,0.31%,0.23%,0.19%,0.07%,0.26%,0.10%,11.32%,0.00%,8,0,0.47%,0.00%,£109.44,£0.00,8,0
B0058GXSDW,B0058GXSDW,Van Houten Hot Chocolate (100 sachets),HOT22 - 002,15,0,19,1,34,1,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,18,0,22,1,40,1,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,94.44%,100.00%,8,2,23.53%,200.00%,£266.72,£66.68,8,2
B0069KOICQ,B0069KOICQ,Doves Farm Baking Powder Bulk 1 kg (Pack of 3),BAK06C - 003,9,0,20,3,29,3,0.00%,0.00%,0.01%,0.02%,0.01%,0.01%,10,0,27,4,37,4,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,61.11%,75.00%,10,5,34.48%,166.67%,£269.32,£133.09,8,4
B006LJ0RR0,B006LJ0RR0,"Forno Bonomi Savoiardi Lady Fingers, 400g",SWE07B - 001,43,2,66,1,109,3,0.01%,0.05%,0.03%,0.01%,0.02%,0.01%,66,7,109,1,175,8,0.02%,0.12%,0.04%,0.00%,0.02%,0.03%,31.13%,100.00%,10,2,9.17%,66.67%,£64.80,£12.96,8,1
B006ZYANKW,B006ZYANKW,Burts Potato Chips Sea Salted 150 g (Pack of 10),CRI10 - 001,1,0,9,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,10,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,90.91%,0.00%,8,0,80.00%,0.00%,£148.46,£0.00,8,0
B007R1I1JM,B007R1I1JM,Bennett Opies Pickled Walnuts In Malt Vinegar 390 g (Pack of 3),PIC06Q,51,1,84,1,135,2,0.02%,0.02%,0.04%,0.01%,0.02%,0.01%,60,2,114,1,174,3,0.01%,0.04%,0.04%,0.00%,0.02%,0.01%,20.83%,100.00%,9,1,6.67%,50.00%,£141.49,£16.05,8,1
B00CCG7ZQ2,B00CCG7ZQ2,Callebaut Milk Chocolate Shavings 2.5 Kg,DEC21 - 001 Prime,21,0,19,3,40,3,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,22,0,24,3,46,3,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,100.00%,100.00%,8,1,20.00%,33.33%,£373.28,£46.66,8,1
B0F8P4WLBQ,B00DUSKC4S,"Lee Kum Kee Gluten Free Oyster Sauce, 2.31 kg (Pack of 1)",ORI08C - 001,"1,544",13,869,21,"2,413",34,0.46%,0.32%,0.37%,0.13%,0.42%,0.17%,"1,964",17,"1,136",26,"3,100",43,0.45%,0.30%,0.37%,0.12%,0.41%,0.15%,5.75%,6.67%,8,1,0.33%,2.94%,£131.99,£16.47,8,1
B00OPYLXBW,B00OPYLXBW,Béghin Say La Perruche Pure Cane Rough Cut Cubes 1kg SUBR1K Case Of 8,SUG17D,6,0,17,2,23,2,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,9,0,20,3,29,3,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,100.00%,100.00%,10,4,43.48%,200.00%,£352.43,£137.22,8,2
B01EX18NLO,B01EX18NLO,( 3kg Pack ) Batchelors Chip Shop Style Mushy Peas 3kg,VEG06C - 001 Prime,17,0,13,0,30,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,24,0,15,0,39,0,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,100.00%,0.00%,13,0,43.33%,0.00%,£143.91,£0.00,8,0
B01N5NW4Y0,B01N5NW4Y0,"Heinz English HOT Mustard Sachet, 7ml (Case 250)",HEI10C - 001,10,0,18,4,28,4,0.00%,0.00%,0.01%,0.02%,0.00%,0.02%,10,0,19,5,29,5,0.00%,0.00%,0.01%,0.02%,0.00%,0.02%,75.86%,80.00%,9,4,32.14%,100.00%,£185.85,£82.60,8,3
B0793DBLFX,B0793DBLFX,"Callebaut Finest Belgian Milk Chocolate, 400 g",CAL03A - 010 Prime,687,9,356,9,"1,043",18,0.20%,0.22%,0.15%,0.06%,0.18%,0.09%,955,9,462,18,"1,417",27,0.22%,0.16%,0.15%,0.08%,0.19%,0.10%,3.65%,0.00%,8,0,0.77%,0.00%,£114.32,£0.00,8,0
B079TVBXHY,B079TVBXHY,Cacao Barry - Cocoa Butter 1kg,BAK23A - 001,50,0,45,2,95,2,0.01%,0.00%,0.02%,0.01%,0.02%,0.01%,77,0,65,2,142,2,0.02%,0.00%,0.02%,0.01%,0.02%,0.01%,92.86%,100.00%,8,0,8.42%,0.00%,£482.80,£0.00,8,0
B07H72NZBZ,B07H72NZBZ,Pom Bear Crisps Original Bag 19g x 36,CRI50 - 004,13,0,14,1,27,1,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,13,0,17,1,30,1,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,87.10%,100.00%,8,1,29.63%,100.00%,£166.57,£20.00,8,1
B07N3WBJ29,B07N3WBJ29,Essential Phytosterolins Catering Foil - 30cm x 75m,CATER001 - 002 Prime,98,2,155,1,253,3,0.03%,0.05%,0.07%,0.01%,0.04%,0.01%,120,2,192,1,312,3,0.03%,0.04%,0.06%,0.00%,0.04%,0.01%,69.79%,0.00%,8,0,3.16%,0.00%,£89.68,£0.00,8,0
B098RHRT2S,B07R4X5CL6,Belazu Italian Basil Pesto 165g (Pack of 6),PES10 x 6,23,0,30,1,53,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,28,0,37,2,65,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,81.67%,0.00%,8,0,15.09%,0.00%,£182.32,£0.00,8,0
B07ZC1B5GC,B07ZC1B5GC,Pasta Reggia Riso Orzo Pasta - 1x500g,PAS70A - 001,86,0,83,0,169,0,0.03%,0.00%,0.03%,0.00%,0.03%,0.00%,107,0,96,0,203,0,0.02%,0.00%,0.03%,0.00%,0.03%,0.00%,82.56%,0.00%,12,0,7.10%,0.00%,£59.88,£0.00,8,0
B08QDX4141,B084D691B5,"Folkington's Elderflower Soft Drink Pressé, 12 Cans, Gently Sparkling, Great Cocktail and Gin Mixer, 250 ml - Pack of 12",FOL10 - 001 Prime,17,1,24,0,41,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.00%,21,1,30,0,51,1,0.00%,0.02%,0.01%,0.00%,0.01%,0.00%,33.33%,0.00%,10,0,24.39%,0.00%,£184.30,£0.00,8,0
B0CDB5KDFL,B086JQ6VC1,Geeta's Lime Pickle 1.3kg - Indian Pickle Jar The Real Flavour of India No Artificial Flavours or Colours Ready to Serve Pickles,CHU00E - 001,159,3,148,2,307,5,0.05%,0.07%,0.06%,0.01%,0.05%,0.02%,220,3,191,2,411,5,0.05%,0.05%,0.06%,0.01%,0.05%,0.02%,37.89%,75.00%,9,0,2.93%,0.00%,£94.05,£0.00,8,0
B087RR6ZP3,B087RR6ZP3,500g Fermipan Yeast Instant Dried Yeast Baker Bakery Baking Bread Dough Catering,BAK01 - 009,"1,551",22,"1,554",59,"3,105",81,0.46%,0.53%,0.65%,0.37%,0.54%,0.40%,"2,117",28,"3,071",80,"5,188",108,0.48%,0.50%,0.99%,0.36%,0.69%,0.39%,0.70%,0.00%,8,0,0.26%,0.00%,£58.09,£0.00,8,0
B08DVX85DV,B08B8SKZ2P,"Alpen Original Swiss Style Muesli Sachets, 45g (30 sachets)",CER25E - 001,146,2,168,8,314,10,0.04%,0.05%,0.07%,0.05%,0.05%,0.05%,180,2,240,13,420,15,0.04%,0.04%,0.08%,0.06%,0.06%,0.05%,34.55%,69.23%,10,3,3.18%,30.00%,£169.90,£50.97,8,1
B08BPDB3VS,B08BPDB3VS,Opies Black Cherry Compote - 4x1.2kg,COMPOT01 - 002,8,0,8,0,16,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,8,0,16,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,8,0,50.00%,0.00%,£364.08,£0.00,8,0
B08DD1KV4S,B08DD1KV4S,FLYING GOOSE Hoi Sin Sauce 1 x 730 ml,ORI04D - 004 Prime,38,0,30,2,68,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,43,0,37,3,80,3,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,44.59%,66.67%,9,0,13.24%,0.00%,£85.86,£0.00,8,0
B08J856MT8,B08J856MT8,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 100 Portions Exp 04/26,JAM03B - 001,235,0,207,12,442,12,0.07%,0.00%,0.09%,0.07%,0.08%,0.06%,342,0,267,13,609,13,0.08%,0.00%,0.09%,0.06%,0.08%,0.05%,93.70%,100.00%,11,4,2.49%,33.33%,£168.74,£61.36,8,1
B0922WKBVR,B0922WKBVR,Gold Leaf Gelatine 1KG,BAK09 - 001 Prime,30,2,33,1,63,3,0.01%,0.05%,0.01%,0.01%,0.01%,0.01%,39,3,39,1,78,4,0.01%,0.05%,0.01%,0.00%,0.01%,0.01%,97.14%,100.00%,9,0,14.29%,0.00%,£311.13,£0.00,8,0
B0BXXZW7MT,B0BXXZW7MT,Lion French Dressing with Extra Virgin Olive Oil 2.27ltr,DRE01B - 001,20,1,33,2,53,3,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,26,1,47,2,73,3,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,98.53%,100.00%,11,7,20.75%,233.33%,£127.09,£81.08,8,4
B0C1VN7RXK,B0C1VN7RXK,"Panna Cotta 1L Macphie Simply heat, chill & serve",MACPHI004 - 012 Prime,44,0,31,0,75,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,64,0,39,0,103,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,96.63%,0.00%,11,0,14.67%,0.00%,£126.13,£0.00,8,0
B0CBRWVBY8,B0CBRWVBY8,"Taylors of Harrogate Decaffe Ground Roast Coffee, 200 g (Pack of 6 - Total 1.2kg)",TAYLOR021 - 001 Prime,251,5,343,37,594,42,0.07%,0.12%,0.14%,0.23%,0.10%,0.21%,394,8,494,55,888,63,0.09%,0.14%,0.16%,0.25%,0.12%,0.23%,0.25%,0.00%,8,0,1.35%,0.00%,£255.28,£0.00,8,0
B0D9WH944K,B0CJK658DF,Oatly Barista Oat Drink Long Life 6x1Litre,ALP31 - 003,"69,932",597,"29,609","2,180","99,541","2,777",20.69%,14.50%,12.47%,13.62%,17.30%,13.80%,"90,518",824,"38,892","3,140","129,410","3,964",20.57%,14.63%,12.52%,14.10%,17.24%,14.21%,0.01%,0.24%,10,9,0.01%,0.32%,£169.60,£152.64,8,7
B0CLGX695B,B0CLGWW5P6,24 Pack Chocolate | 24 Packs of 51 g | Milk Chocolate | Bulk Gift Box (1 Box (24 Bars)),CHO31B - 017,70,1,65,1,135,2,0.02%,0.02%,0.03%,0.01%,0.02%,0.01%,95,1,83,3,178,4,0.02%,0.02%,0.03%,0.01%,0.02%,0.01%,64.78%,0.00%,10,0,7.41%,0.00%,£220.00,£0.00,8,0
B0CM9WJ7TB,B0CM9WJ7TB,Bulky Soft White 2ply Napkins 2000 x 40cm x 40cm / 8 fold (32042),NAPKIN103 - 001,14,0,32,21,46,21,0.00%,0.00%,0.01%,0.13%,0.01%,0.10%,17,0,47,25,64,25,0.00%,0.00%,0.02%,0.11%,0.01%,0.09%,44.26%,0.00%,10,0,21.74%,0.00%,£425.24,£0.00,8,0
B0CPM48KYM,B0CPM48KYM,Northampton Pride Plain White Flour 16kg,FLO02C - 008 Prime,11,0,19,2,30,2,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,14,0,34,5,48,5,0.00%,0.00%,0.01%,0.02%,0.01%,0.02%,95.56%,100.00%,8,4,26.67%,200.00%,£153.76,£76.88,8,4
B0CPQ5KWFJ,B0CPQ5KWFJ,Brown Bag Lightly Salted Crisps and Rosemary & Sea Salt Crisps (2 Boxes),Crisps Bundle - 008 Prime,20,0,37,2,57,2,0.01%,0.00%,0.02%,0.01%,0.01%,0.01%,22,0,39,2,61,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,100.00%,100.00%,9,3,15.79%,150.00%,£291.42,£99.30,8,2
B0CQ5D14Q3,B0CQ5D14Q3,Biona Organic Coconut Cream (Tin) 400ml,ORI12C - 002 Prime,51,0,60,1,111,1,0.02%,0.00%,0.03%,0.01%,0.02%,0.00%,62,0,67,1,129,1,0.01%,0.00%,0.02%,0.00%,0.02%,0.00%,80.49%,0.00%,18,0,16.22%,0.00%,£116.28,£0.00,8,0
B0CTTWYHBK,B0CTTWYHBK,"Wowboxme Walkers Assorted Shortbread Variety Mini Packs Biscuits (100 Packs (1 Box)),White / Red Box",SWE01 - 007,13,0,38,13,51,13,0.00%,0.00%,0.02%,0.08%,0.01%,0.06%,20,0,44,17,64,17,0.00%,0.00%,0.01%,0.08%,0.01%,0.06%,95.24%,88.24%,9,5,17.65%,38.46%,£227.97,£126.65,8,4
B0CVN9B55H,B0CVN4CFPW,Lion Ranch Dressing 2.27ltr (1),DRE10A - 001 Prime,45,1,42,3,87,4,0.01%,0.02%,0.02%,0.02%,0.02%,0.02%,58,1,49,3,107,4,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,84.85%,100.00%,8,0,9.20%,0.00%,£130.24,£0.00,8,0
B0D1CNNTCL,B0D1CNNTCL,Core - Urinal Blocks - 3kg,CLE16 - 001 Prime,7,0,9,2,16,2,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,9,0,11,2,20,2,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,94.44%,50.00%,8,0,50.00%,0.00%,£190.16,£0.00,8,0
B0D1CTNL1J,B0D1CRYLJY,Parkers - Machine Rinse Aid - 5L (1) - Dishwasher Rinse Aid - Liquid - Unscented - Streak Free,CORECH010 - 001,16,1,15,2,31,3,0.00%,0.02%,0.01%,0.01%,0.01%,0.01%,20,1,20,4,40,5,0.00%,0.02%,0.01%,0.02%,0.01%,0.02%,100.00%,100.00%,8,1,25.81%,33.33%,£84.16,£10.52,8,1
B0D33P9TNL,B0D33P9TNL,"Menz & Gasser - Jam Portions (Plastic) (100 x 20gm, Marmalade)",PRE03A - 002 Prime,5,0,13,0,18,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,8,0,18,0,26,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,100.00%,0.00%,8,0,44.44%,0.00%,£118.16,£0.00,8,0
B0D3QJFHWB,B0D3QJFHWB,Lion - PRAWN Cocktail Sauce - 2.27ltr (1),LIO09 - 001 Prime,12,0,18,1,30,1,0.00%,0.00%,0.01%,0.01%,0.01%,0.00%,16,0,21,1,37,1,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,100.00%,100.00%,15,0,50.00%,0.00%,£202.20,£0.00,8,0
B0D463WH7C,B0D45YY543,"Global Farm Hand Picked Wild Fennel Pollen (2, 5gm)",SPI71 - 002 Prime,19,0,40,1,59,1,0.01%,0.00%,0.02%,0.01%,0.01%,0.00%,32,0,49,1,81,1,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,98.67%,100.00%,8,1,13.56%,100.00%,£117.20,£14.65,8,1
B0D92PN94C,B0D92PN94C,"Jersey Ice Cream Mix 1ltr (1, Luxury)",UHT31B - 001 Prime,26,0,33,0,59,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,29,0,38,0,67,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,96.88%,0.00%,9,0,15.25%,0.00%,£78.06,£0.00,8,0
B0DBLQ4GLM,B0DBLQ4GLM,Triple Lion Penne Pasta 3kg (Pack of 4),PAS02 - 002 Prime,34,0,21,0,55,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,39,0,27,0,66,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,93.75%,0.00%,15,1,27.27%,0.00%,£387.17,£24.61,8,1
B0DSGJXNKS,B0DSGJXNKS,Ambient Mixed Topped Muffins - 16 x 105gm,MUFFIN024 - 003 Prime,230,3,244,19,474,22,0.07%,0.07%,0.10%,0.12%,0.08%,0.11%,296,3,299,26,595,29,0.07%,0.05%,0.10%,0.12%,0.08%,0.10%,43.35%,33.33%,10,1,2.11%,4.55%,£203.98,£20.81,8,1
B0DWT4SZHX,B0DWT4SZHX,Mrs Elswood Catering Whole Sweet Gherkins 2.5kg,GHE06 - 002 Prime,40,0,28,2,68,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,54,0,36,2,90,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,100.00%,100.00%,8,0,11.76%,0.00%,£97.64,£0.00,8,0
B0DWTFDBNM,B0DWTFDBNM,The Bay Tree Cheeseboard Chutney 1.2kg,CHU13 - 002 Prime,21,0,31,2,52,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,27,0,39,2,66,2,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,100.00%,100.00%,9,1,17.31%,50.00%,£171.54,£19.06,8,1
B0DZDKNR24,B0DZDKNR24,"Yutaka Crispy Fried Onions 500g | Ready-to-Eat Golden Topping for Sushi, Salads, Burgers & Asian Dishes | Crunchy, Savoury Garnish | Vegan-Friendly",ORI300B - 001 Prime,37,2,36,0,73,2,0.01%,0.05%,0.02%,0.00%,0.01%,0.01%,44,2,52,0,96,2,0.01%,0.04%,0.02%,0.00%,0.01%,0.01%,100.00%,100.00%,9,3,12.33%,150.00%,£77.40,£25.80,8,2
B0F3XQ44NT,B0F3XQ44NT,Centaur - Dulce De Leche - 1kg,SWE10B - 001 Prime,48,2,32,2,80,4,0.01%,0.05%,0.01%,0.01%,0.01%,0.02%,55,3,35,2,90,5,0.01%,0.05%,0.01%,0.01%,0.01%,0.02%,100.00%,100.00%,8,1,10.00%,25.00%,£117.04,£14.63,8,1
B0C5F6X57M,B000NLCKNQ,Tate and Lyle Fairtrade Demerara Rough Cut Sugar Cubes 1 kg,TATECU001 - 001,533,7,343,56,876,63,0.16%,0.17%,0.14%,0.35%,0.15%,0.31%,686,9,455,72,"1,141",81,0.16%,0.16%,0.15%,0.32%,0.15%,0.29%,1.51%,1.47%,8,1,0.91%,1.59%,£67.44,£8.43,7,1
B0F9B36XYM,B004L5BQCQ,"Lee Kum Kee Hoisin Sauce, Vegan, 2.56 kg (Pack of 1)",ORI04C - 001,34,1,49,2,83,3,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,42,2,61,3,103,5,0.01%,0.04%,0.02%,0.01%,0.01%,0.02%,40.43%,0.00%,9,0,10.84%,0.00%,£154.08,£0.00,7,0
B004Y0OIGO,B004Y0OIGO,Acquerello Carnaroli Rice Aged 1 Year – 2.5kg Vacuum Pack – Premium Italian Risotto Rice,RIC17C,30,0,52,0,82,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,38,0,66,0,104,0,0.01%,0.00%,0.02%,0.00%,0.01%,0.00%,31.25%,0.00%,7,0,8.54%,0.00%,£219.09,£0.00,7,0
B008F66BK4,B008F66BK4,"Valrhona Chocolat Noir, Guanaja 70%, 1kg",VALRHO010 - 001,168,2,165,3,333,5,0.05%,0.05%,0.07%,0.02%,0.06%,0.02%,263,2,202,4,465,6,0.06%,0.04%,0.07%,0.02%,0.06%,0.02%,41.69%,33.33%,7,0,2.10%,0.00%,£276.84,£0.00,7,0
B0DX763BXB,B009C324QY,"Le Guerandais Celtic Coarse Grey Sea Salt In 1kg Bags, Hand Harvested In Guerande/France",SAL21 - 002 Prime,652,4,610,16,"1,262",20,0.19%,0.10%,0.26%,0.10%,0.22%,0.10%,937,4,910,23,"1,847",27,0.21%,0.07%,0.29%,0.10%,0.25%,0.10%,9.91%,0.00%,9,0,0.71%,0.00%,£65.43,£0.00,7,0
B00C98KN1M,B00C98KN1M,Chef William Baking Powder - 800g,BAK06B - 002,64,3,52,4,116,7,0.02%,0.07%,0.02%,0.02%,0.02%,0.03%,89,5,62,5,151,10,0.02%,0.09%,0.02%,0.02%,0.02%,0.04%,14.81%,0.00%,9,3,7.76%,42.86%,£70.11,£23.37,7,1
B08LDWS275,B00E7P9ODI,Nielsen-Massey Pure Almond Extract 60 ml (Pack of 8),ESS13 - 008,13,0,33,3,46,3,0.00%,0.00%,0.01%,0.02%,0.01%,0.01%,21,0,36,3,57,3,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%,43.40%,0.00%,13,5,28.26%,166.67%,£439.14,£168.90,7,2
B00EGOYFQ6,B00EGOYFQ6,Biona Organic Coconut Milk 4x400ml,MIL06D - 013 Prime,52,1,48,0,100,1,0.02%,0.02%,0.02%,0.00%,0.02%,0.00%,71,1,59,0,130,1,0.02%,0.02%,0.02%,0.00%,0.02%,0.00%,43.44%,0.00%,7,0,7.00%,0.00%,£91.98,£0.00,7,0
B00EOSDJA2,B00EOSDJA2,"Taylors of Harrogate Earl Grey Tea, 20 Tea Bags (Pack of 6, Total 120 Teabags)",TAYLOR003 - 001,12,0,12,1,24,1,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%,21,0,15,1,36,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,82.76%,100.00%,7,0,29.17%,0.00%,£117.70,£0.00,7,0
