(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CFB8YHPN,B0CFB5M7BH,"Mars, Kinder, Cadbury and Nestle Chocolate Bulk Buy (Mars 24 x 51g Box, (1 Pack))",CHO31B - 008,7,0,0.75%,0.00%,10,0,0.80%,0.00%,77.78%,0.00%,1,0,14.29%,0.00%,£17.74,£0.00,1,0
B0CGMYDC3V,B0CGMYDC3V,Golden Swan Vietnamese Prawn Crackers 1 Pack of 2kg - Light and Crispy Authentic Prawn,ACC02A - 002,2,0,0.21%,0.00%,3,0,0.24%,0.00%,100.00%,0.00%,2,0,100.00%,0.00%,£19.32,£0.00,1,0
B0CLM75717,B0CLM6HW9S,"Buchanan Dried Fruits (CHOPPED Dates 3kg, Pack of 1)",DRIDAT002 - 003 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,3,3,300.00%,0.00%,£41.37,£41.37,1,1
B0CLSD66C4,B0CLSD66C4,"Freee Flour Selection Pack | White Bread, Brown Bread, Self Raising White & Plain White | One of Each 1kg Pack | Free from Gluten",Doves Bundle - 002 Prime,2,0,0.21%,0.00%,4,0,0.32%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£16.84,£0.00,1,0
B0CN3NRK7H,B0CN3KYG4D,"Fresher's Juice Drinks 5ltr (No Added Sugar Orange, 1)",COR34A - 004,3,0,0.32%,0.00%,5,0,0.40%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,£10.79,£0.00,1,0
B0CND949FX,B0CND949FX,Heygates Fine Lady Plain Flour 1.5kg (Pack of 6),FLO01A - 002 Prime,2,0,0.21%,0.00%,7,0,0.56%,0.00%,20.00%,0.00%,1,0,50.00%,0.00%,£13.24,£0.00,1,0
B0CPQ6SKZH,B0CPQ6SKZH,Brown Bag Retail Lightly Salted Crisps and Sea Salt & Malt Vinegar Crisps (2 Boxes),Crisps Bundle - 009 Prime,1,0,0.11%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£32.83,£0.00,1,0
B0CRL2H2RB,B0CRL2H2RB,Flora Plant Based Double Cream Alternative 1ltr,FLORA004 - 001,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£9.79,£0.00,1,0
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,ELSIN001 - 001,7,0,0.75%,0.00%,8,0,0.64%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,£9.49,£0.00,1,0
B0CTMW5SHC,B0CTMW5SHC,Ballerina Tinned Sweetcorn 2.125kg (Pack of 2),VEG13B - 002 Prime,2,0,0.21%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£16.21,£0.00,1,0
B0CTMYG2H5,B0CTMYG2H5,Lemon Wrap & Ties 1 x 100,NON90 - 001 Prime,1,0,0.11%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,1,100.00%,0.00%,£35.80,£35.80,1,1
B0CTQTWCQK,B0CTQTWCQK,Dried Fermipan Yeast 500gm (Pack of 6),BAK01 - 005 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£24.65,£0.00,1,0
B0CTQWB8HG,B0CTQWB8HG,"Mae Ploy Authentic Thai Assorted Curry Paste 400g - Massaman, Red, Green & Yellow Curry Sauce (Pack of 4) HALAL",Mae Ploy Bundle - 003 Prime,5,0,0.53%,0.00%,6,0,0.48%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,£17.49,£0.00,1,0
B0CV85NQ99,B0CV85NQ99,Tinned Princes Solid Pack Rhubarb 2.82kg (Pack of 6),FRU04 - 003,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£60.49,£0.00,1,0
B0CVLG4MT9,B0CVLBZ4FY,"Taylors Tea 1 x 20 Bags (6, Lemon & Ginger Infusion)",TAYLOR001 - 003 Prime,1,0,0.11%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,3,0,300.00%,0.00%,£61.95,£0.00,1,0
B0CVNBBHHG,B0CVMWVVX7,"Colavita Olive Oil (1, Colavita 100% Greek Extra Virgin Olive Oil)",COLAVI004 - 001 Prime,1,0,0.11%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£13.41,£0.00,1,0
B0CW3NMR7N,B0CW3NMR7N,Seasoners Traditional Pickled Onions 2.25kg (Pack of 2),PIC05A - 002 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£21.99,£0.00,1,0
