id,createdAt,updatedAt,parentSKU,parentTitle,childSKU,childTitle,quantity
cmcnb9frr011ko23fkpxz6j68,1751542636279,1751542636279,"HEI10I - 002","Heinz - MALT VINEGAR Sachet - 200 x 7ml",HEI10I,"Heinz - MALT VINEGAR Sachet - 200 x 7ml",1
cmcnb9frr011lo23f57yveazm,1751542636279,1751542636279,"HOT06 - 003 Prime","Cadbury - Drinking Hot Chocolate - (ADD MILK) - 2kg",HOT06,"Cadbury - Drinking Hot Chocolate - (ADD MILK) - 2kg",1
cmcnb9frr011mo23f008h0d23,1751542636279,1751542636279,"VIN55 - 006","Belazu - BALSAMIC PEARLS - 55g - (Pack of 5)",VIN55,"Belazu - BALSAMIC PEARLS - 55g",5
cmcnb9frr011no23f39z8j71x,1751542636279,1751542636279,"ALP09 - 007 Prime","Alpro - OAT Milk - 1ltr - (Pack of 12)",ALP09,"Alpro - OAT Milk - 1ltr",12
cmcnb9frr011oo23fcnk473k9,1751542636279,1751542636279,"PAS06D - 002 Prime","REGGIA - MACARONI ELBOWS pasta - 500g (Pack of 10)",PAS06D,"REGGIA - MACARONI ELBOWS pasta - 500g",10
cmcnb9frr011po23fv0s3eon6,1751542636279,1751542636279,"COR51 - 101","Bottlegreen - Ginger & Lemongrass Cordial - 500ml",COR51,"Bottlegreen - Ginger & Lemongrass Cordial - 500ml",1
cmcnb9frr011qo23fdonbsuoi,1751542636279,1751542636279,"CAN10A - 002","Red Bull - Sugar Free - 24 x 250ml",CAN10A,"Red Bull - Sugar Free - 24 x 250ml",1
cmcnb9frr011ro23fiicz4hp5,1751542636279,1751542636279,"NUT08C - 001","Parkers - Green Peeled Pistachios - 1kg",NUT08C,"Parkers - Green Peeled Pistachios - 1kg",1
cmcnb9frr011so23f8a0yrqtj,1751542636279,1751542636279,"DEC21 - 002 Prime","Callebaut - MILK Chocolate Shavings - 2.5 Kg",DEC21,"Callebaut - MILK Chocolate Shavings - 2.5 Kg",1
cmcnb9frr011to23fj1hbxclj,1751542636279,1751542636279,"GLO22A - 002 Prime","Safetouch - MEDIUM Powder Free BLACK Disposable NITRILE Gloves - 1 x 100 (Pack of 10)",GLO22A,"Safetouch - MEDIUM Powder Free BLACK Disposable NITRILE Gloves - 1 x 100",10
cmcnb9frr011uo23f5lerrbqg,1751542636279,1751542636279,"CHO30A - 008 Prime","Kit Kat 4 Finger - Box - 24 x 41.5g",CHO30A,"Kit Kat 4 Finger - Box - 24 x 41.5g",1
cmcnb9frr011vo23f291v3bmf,1751542636279,1751542636279,"BORDER002 - 006","Borders Mini Pack Assorted Biscuits (5 Variety) - 100's",BORDER002,"Borders - Mini Pack Assorted Biscuits (5 Variety) - 100's",1
cmcnb9frr011wo23fef2z7duw,1751542636279,1751542636279,"RETAIL008 - 102","Tiptree - Wild CRANBERRY Sauce - 210g - (Pack of 2)",RETAIL008,"Tiptree - Wild CRANBERRY Sauce - 210g",2
cmcnb9frr011xo23fnddeyvzc,1751542636279,1751542636279,"UHT31C - 002","Jersey - Luxury CHOCOLATE Ice Cream Mix - 1ltr - (Pack of 12)",UHT31C,"Jersey - Luxury CHOCOLATE Ice Cream Mix - 1ltr",12
cmcnb9frr011yo23f95b2feir,1751542636279,1751542636279,"MACPHI009 - 003","Macphie - BECHAMEL SAUCE WITH BUTTER - 1Ltr - (Pack of 12)",MACPHI009,"Macphie - BECHAMEL SAUCE WITH BUTTER - 1Ltr",12
cmcnb9frr011zo23fuu58y48m,1751542636279,1751542636279,"MIN10 - 906","Minced Chicken Breast (typically 3% fat) - 5kg - Minced Chicken Breast (typically 3% fat)",MIN10,"Minced Chicken Breast (typically 3% fat) - 500g - Minced Chicken Breast (typically 3% fat)",5
cmcnb9frr0120o23fd5tuv73k,1751542636279,1751542636279,"BUNDLE021 - 001","Monin - CINNAMON Syrup - (Glass) - 70cl - PUMP SET",MONINS50,"Monin - SYRUP PUMP - 70cl GLASS",1
cmcnb9frr0121o23faycggrdj,1751542636279,1751542636279,"BUNDLE021 - 001","Monin - CINNAMON Syrup - (Glass) - 70cl - PUMP SET",MONINS14,"Monin - CINNAMON Syrup - (Glass) - 70cl",1
cmcnb9frr0122o23fheb8c76d,1751542636279,1751542636279,"SWE09C - 004","Nestle - Carnation Caramel - 397g - (Pack of 6)",SWE09C,"Nestle - Carnation Caramel - 397g",6
cmcnb9frr0123o23f1ogjpnn9,1751542636279,1751542636279,"BODER002 - 005 - prime","Borders - Mini Pack Assorted Biscuits (5 Variety) - 100's - (Pack of 2)",BORDER002,"Borders - Mini Pack Assorted Biscuits (5 Variety) - 100's",2
cmcnb9frr0124o23fyzz3p48a,1751542636279,1751542636279,"MONINS12 - 102","Monin - RASPBERRY Syrup - (Glass) - 70cl - (Pack of 6)",MONINS12,"Monin - RASPBERRY Syrup - (Glass) - 70cl",6
cmcnb9frr0125o23fjb4mby7r,1751542636279,1751542636279,"HOT09 - 001","Marmite - 600g",HOT09,"Marmite - 600g",1
cmcnb9frs0126o23fa9x23jdm,1751542636279,1751542636279,"DEC22 - 001","Callebaut - WHITE Chocolate Shavings - 2.5 Kg",DEC22,"Callebaut - WHITE Chocolate Shavings - 2.5 Kg",1
cmcnb9frs0127o23fbh2hd53v,1751542636279,1751542636279,"NESQUIK003 - 102","Nesquik - STRAWBERRY Milkshake Powder - 300g - (Pack of 10)",NESQUIK003,"Nesquik - STRAWBERRY Milkshake Powder - 300g",10
cmcnb9frs0128o23faz5t8kq6,1751542636279,1751542636279,"FLO19E - 001 Prime","Doves Farm - GF - WHITE SELF RAISING Flour (Sack) - 16kg",FLO19E,"Doves Farm - GF - WHITE SELF RAISING Flour (Sack) - 16kg",1
cmcnb9frs0129o23fixj6xqf7,1751542636279,1751542636279,"CAL03 - 011 Prime","Callebaut - Milk - 33.6% Callets - 2.5kg - (Pack of 2)",CAL03,"Callebaut - Milk - 33.6% Callets - 2.5kg",2
