(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B07Z5K8YTL,B07YSGWF37,"Golden Swan Shaoxing Cooking Condiment, 500ml",ORI14A - 001 Prime,6,0,0.00%,0.00%,7,0,0.00%,0.00%,50.00%,0.00%,1,0,16.67%,0.00%,£10.44,£0.00,1,0
B07YTXJCTG,B07YTXJCTG,Pasta Reggia Cannelloni - 12x250g,PAS12A - 012 Prime,22,0,0.01%,0.00%,25,0,0.01%,0.00%,58.33%,0.00%,1,0,4.55%,0.00%,£19.46,£0.00,1,0
B07YZCFRPK,B07YZCFRPK,Brown Bag Crisps Oak Smoked Chilli 40 g (Pack of 20),CRI33 - 002,1,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£17.08,£0.00,1,0
B0CV151M43,B07ZB5K9ZD,Brown Bag Crisps - Rosemary and Sea Salt 40g (Pack of 20),CRI38 - 001,103,1,0.06%,0.02%,129,1,0.06%,0.02%,57.02%,0.00%,1,0,0.97%,0.00%,£16.92,£0.00,1,0
B07ZC1B5GC,B07ZC1B5GC,Pasta Reggia Riso Orzo Pasta - 1x500g,PAS70A - 001 Prime,37,0,0.02%,0.00%,44,0,0.02%,0.00%,67.44%,0.00%,1,0,2.70%,0.00%,£5.68,£0.00,1,0
B082YQDCXY,B081QQXFXX,"Flying Goose Mayo Sriracha, 730 ml",MAY22 - 001,9,0,0.01%,0.00%,14,0,0.01%,0.00%,0.00%,0.00%,1,0,11.11%,0.00%,£8.87,£0.00,1,0
B0844Y5K71,B0844Y5K71,McDougalls Thickening Granules Sweet and Savory Instant Thickener 1.5kg British Food Shop,GRA07 - 002 not prime,8,1,0.00%,0.02%,14,1,0.01%,0.02%,88.89%,100.00%,1,0,12.50%,0.00%,£23.16,£0.00,1,0
B085375VTV,B085375VTV,Sosa - Natural Maltodextrin Powder - 500g,SOSAMA001 - 001,13,0,0.01%,0.00%,19,0,0.01%,0.00%,93.33%,0.00%,1,0,7.69%,0.00%,£10.46,£0.00,1,0
B08562KZ6G,B08562KZ6G,Sosa - Soy Lecithin Powder - 400g,SOSALE001 - 001,24,1,0.01%,0.02%,31,1,0.01%,0.02%,53.85%,0.00%,1,0,4.17%,0.00%,£28.31,£0.00,1,0
B085P22RXH,B085P22RXH,Triple Lion Professional Chef's Penne Rigate 100% Durum Wheat Semolina Pasta 3kg,PAS02 - 001,74,1,0.04%,0.02%,88,1,0.04%,0.02%,36.59%,0.00%,1,0,1.35%,0.00%,£9.86,£0.00,1,0
B085W3HF4M,B085W3HF4M,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,PAS06 - 001 Prime,120,3,0.07%,0.06%,169,5,0.07%,0.08%,82.64%,100.00%,1,0,0.83%,0.00%,£11.79,£0.00,1,0
B085WW644H,B085WW644H,Triple Lion Professional Chef's Spaghetti 100% Durum Wheat Semolina Pasta 3kg,PAS07 - 001,67,3,0.04%,0.06%,95,5,0.04%,0.08%,15.29%,0.00%,3,0,4.48%,0.00%,£29.64,£0.00,1,0
B08644RPSJ,B08644RPSJ,Caterwrap Aluminium Catering Foil Catering Quality Strong 14Mu 450mm x 75m,CATER002 - 001 Prime,121,8,0.07%,0.17%,163,12,0.07%,0.19%,1.29%,20.00%,2,2,1.65%,25.00%,£27.94,£27.94,1,1
B0CDB5KDFL,B086JQ6VC1,Geeta's Lime Pickle 1.3kg - Indian Pickle Jar The Real Flavour of India No Artificial Flavours or Colours Ready to Serve Pickles,CHU00E - 001 Prime,91,1,0.05%,0.02%,127,1,0.06%,0.02%,3.48%,0.00%,1,0,1.10%,0.00%,£11.12,£0.00,1,0
B086R2WZDT,B086R2WZDT,Dried Currants 3kg,DRICUR001 - 001 not prime,23,0,0.01%,0.00%,28,0,0.01%,0.00%,96.30%,0.00%,3,0,13.04%,0.00%,£59.94,£0.00,1,0
B086R35LS1,B086R35LS1,Dried Sultanas 3kg,DRISUL001 - 001,3,1,0.00%,0.02%,3,1,0.00%,0.02%,33.33%,0.00%,3,0,100.00%,0.00%,£51.87,£0.00,1,0
B086R35LS1,B086R35LS1,Dried Sultanas 3kg,DRISUL001 - 001 not prime,3,1,0.00%,0.02%,3,1,0.00%,0.02%,33.33%,0.00%,1,0,33.33%,0.00%,£16.69,£0.00,1,0
B0BGWW7M51,B086XM7511,"Coca Cola Diet Coke Glass, Pack of 24x330 ml",BOT21 - 001,9,0,0.01%,0.00%,11,0,0.00%,0.00%,36.36%,0.00%,1,0,11.11%,0.00%,£36.71,£0.00,1,0
B0DZCQLL9Y,B087B9R1Z8,"Cambrook - Giant Chilli Corn, 650g Bag",CAMBR016 - 001,154,4,0.09%,0.09%,189,4,0.08%,0.06%,0.00%,0.00%,1,0,0.65%,0.00%,£11.51,£0.00,1,0
B0CLYMX2HP,B087BNFG87,"Cambrook Hickory Smoke Seasoned Almonds Vegan, 1 kg Bag",CAMBR008 - 001,62,1,0.03%,0.02%,73,1,0.03%,0.02%,9.52%,0.00%,1,0,1.61%,0.00%,£20.16,£0.00,1,0
B087V8L9LZ,B087V8L9LZ,Macphie - Premium Creme Brulee - UHT - Long Shelf Life (1 litres),MACPHI006,14,1,0.01%,0.02%,28,1,0.01%,0.02%,95.24%,100.00%,1,0,7.14%,0.00%,£10.10,£0.00,1,0
B087V8L9LZ,B087V8L9LZ,Macphie - Premium Creme Brulee - UHT - Long Shelf Life (1 litres),MACPHI006 Prime,14,1,0.01%,0.02%,28,1,0.01%,0.02%,95.24%,100.00%,2,0,14.29%,0.00%,£21.54,£0.00,1,0
B089RNMQZQ,B089RNMQZQ,MONIN Maple Spice Maple Syrup 3 x 0.7 Litres,MONINS17 - 004 Prime,10,0,0.01%,0.00%,11,0,0.00%,0.00%,81.82%,0.00%,1,0,10.00%,0.00%,£31.69,£0.00,1,0
B0CDPDXXWD,B08BP8Q4S3,Tate & Lyle Dark Soft Brown Sugar - 4x3kg,TATESO001 - 002,44,6,0.02%,0.13%,58,7,0.03%,0.11%,0.00%,0.00%,1,0,2.27%,0.00%,£35.34,£0.00,1,0
B08BPBQ1GL,B08BPBQ1GL,Riverdene Peach Halves in Syrup - 6x2.5kg,FRU10B - 002 Prime,3,2,0.00%,0.04%,3,2,0.00%,0.03%,100.00%,100.00%,2,2,66.67%,100.00%,£90.96,£90.96,1,1
B08BPBS34Z,B08BPBS34Z,Major Gluten Free Beef Stock Powder Mix - 2x1kg,MAJORS003 - 002,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£53.89,£0.00,1,0
B08BPCWQGT,B08BPCWQGT,Fentimans Ginger Beer Drinks - 12x275ml,FENTIM005 - 002,18,2,0.01%,0.04%,22,3,0.01%,0.05%,85.71%,100.00%,1,0,5.56%,0.00%,£22.59,£0.00,1,0
B08DD1KV4S,B08DD1KV4S,FLYING GOOSE Hoi Sin Sauce 1 x 730 ml,ORI04D - 004,22,1,0.01%,0.02%,26,2,0.01%,0.03%,69.57%,100.00%,1,0,4.55%,0.00%,£8.87,£0.00,1,0
B08DJ78B7M,B08DJ78B7M,Alpen No Added Sugar Muesli Sachets - 30x45g,CER25H - 001,79,5,0.04%,0.11%,102,5,0.04%,0.08%,24.44%,20.00%,1,0,1.27%,0.00%,£14.87,£0.00,1,0
B08GCM53YX,B08GCM53YX,Fentimans - Dandelion & Burdock 275ml Glass Bottle - Pack of 24,FENTIM003 - 005,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,£38.69,£0.00,1,0
B08GCQFWZL,B08GCQFWZL,Fentimans - Victorian Lemonade 275ml Glass Bottle - Pack of 12,FENTIM010 - 003,5,1,0.00%,0.02%,7,1,0.00%,0.02%,100.00%,100.00%,1,0,20.00%,0.00%,£22.59,£0.00,1,0
B08GGB6CFK,B08GGB6CFK,Dr. Oetker Professional Gluten Free Baking Powder - 6x500g,BAK06E - 002 Prime,2,1,0.00%,0.02%,3,2,0.00%,0.03%,100.00%,100.00%,1,1,50.00%,100.00%,£23.34,£23.34,1,1
B08H7SLPNM,B08H7SLPNM,Essential Cuisine Peppercorn Sauce Base - 2x800g,RTS16 - 002,3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,1,0,33.33%,0.00%,£50.78,£0.00,1,0
B08J84387K,B08J84387K,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 200 Portions Exp 04/26,JAM03B - 002,5,0,0.00%,0.00%,5,0,0.00%,0.00%,80.00%,0.00%,1,0,20.00%,0.00%,£25.90,£0.00,1,0
B08J87MYND,B08J87MYND,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 400 Portions Exp 04/26,JAM03B - 003,6,0,0.00%,0.00%,9,0,0.00%,0.00%,71.43%,0.00%,1,0,16.67%,0.00%,£48.94,£0.00,1,0
B08Y17MLFY,B08L4M9N89,Thai Taste Red Curry Paste in Tub (400g),THAITA013 - 002,14,0,0.01%,0.00%,15,0,0.01%,0.00%,7.14%,0.00%,1,0,7.14%,0.00%,£7.21,£0.00,1,0
B08NCP8LZL,B08NCP8LZL,Callebaut Dark Chocolate Chunks 10kg,CHO90A - 001,8,0,0.00%,0.00%,10,0,0.00%,0.00%,100.00%,0.00%,2,0,25.00%,0.00%,£385.12,£0.00,1,0
B08PZDT5MV,B08PZDT5MV,Essential Cuisine Wild Mushroom Glace 600g,GLA08,17,0,0.01%,0.00%,19,0,0.01%,0.00%,36.84%,0.00%,1,0,5.88%,0.00%,£32.98,£0.00,1,0
B08PZH36KN,B08PZH36KN,Essential Cuisine - Game Glace 600g,GLA02,4,1,0.00%,0.02%,4,1,0.00%,0.02%,75.00%,100.00%,1,1,25.00%,100.00%,£33.65,£33.65,1,1
B08T64YCSQ,B08T64YCSQ,Fudge Pieces 1KG Parkers Foodservice,TOP01,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,£21.21,£0.00,1,0
