SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
MIL13 - 002,Milfresh Skimmed Milk Powder 2 kg,468.0,1.0,0.21,15.83,15.83
HOT04B - 008 uk shipping,Bovril Beef Flavoured Drink 2 x 450g Catering Tub Granules 180 Servings BRITISH FOOD SHOP (BFSBOV2),463.0,26.0,5.62,761.54,29.29
ALP31A - 006,Oatly Oat Drink Barista Edition 1L | Suitable for vegetarians | (3 Packs),454.0,2.0,0.44,23.98,11.99
SUG16A,La Perruche Rough Sugar Cubes White (1kg),449.0,36.0,8.02,288.72,8.02
HOT06A - 001,"Galaxy Hot Chocolate, Add Milk, 2kg",447.0,2.0,0.45,37.04,18.52
HOT06A - 001 Prime,"Galaxy Hot Chocolate, Add Milk, 2kg",447.0,35.0,7.83,679.44,19.41
PIC05A - 001 Prime,Seasoners Traditional Pickled Onions 2.25kg,446.0,61.0,13.68,914.39,14.99
PIC05A - 001,Seasoners Traditional Pickled Onions 2.25kg,446.0,32.0,7.17,447.68,13.99
Lotus Bundle,Lotus Biscoff Topping Sauce 1kg Squeezy Bottle And Lotus Biscoff Crushed Crumbs 750g Ultimate Dessert Combo Bundle by Choice Masters,444.0,2.0,0.45,39.72,19.86
JAM03B - 001 Prime,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 100 Portions Exp 04/26,442.0,89.0,20.14,1416.88,15.92
JAM03B - 001,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 100 Portions Exp 04/26,442.0,11.0,2.49,168.74,15.34
GRANDM001 - 002 Prime,"Grandma Wilds Biscuits | Individually Wrapped Mixed Flavours x 100 Packs Of 2 Biscuits - Perfect For Meeting Rooms, Hotel Bedrooms, Hairdressers & More",439.0,21.0,4.78,550.83,26.23
CLE35 - 001,"Silvo Tarnish Guard Metal Polish | All Purpose Metal Polish - For Silver, Gold, Aluminum, and Electroplate 175ml",438.0,2.0,0.46,14.98,7.49
VIN02 - 001,"Sarson's - Malt Vinegar PTB, 12 x 300ml, British Vinegar - Classic Taste for Chips, Marinades, Condiments - Traditional UK Recipe, Gluten-Free",436.0,9.0,2.06,187.38,20.82
MACPHI006 x 1,Macphie Créme Brulée 1 Litre,435.0,1.0,0.23,10.1,10.1
CAL100,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",431.0,9.0,2.09,282.21,31.36
CAL100 - PRIME,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",431.0,50.0,11.6,1605.5,32.11
TAYLOR010 - 001,Taylors of Harrogate Lapsang Souchong Tea 20 Wrapped & Tagged Tea Bags,430.0,2.0,0.47,13.4,6.7
MONINS10 Prime,"MONIN Premium Orange Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings.",425.0,11.0,2.59,150.48,13.68
MONINF001 - 001,Monin Vanilla Frappe Mix 1.36kg Tub - Flavoured Coffee Powder for Coffee Shops by Monin,422.0,12.0,2.84,348.6,29.05
CHO01C - 001 Prime,"Cocoa Powder Plein Arome, 1kg",419.0,3.0,0.72,84.93,28.31
SOY03 - 002,Lee Kum Kee Premium 500ml | 2x Dark Soy Sauce | Dark Cooking Soy Sauce 500ml,413.0,4.0,0.97,37.2,9.3
SOY03 - 002 Prime,Lee Kum Kee Premium 500ml | 2x Dark Soy Sauce | Dark Cooking Soy Sauce 500ml,413.0,9.0,2.18,89.55,9.95
FLORA004 - 001,Flora Plant Based Double Cream Alternative 1ltr,412.0,43.0,10.44,420.97,9.79
FOL02 - 001 Prime,"Folkington's Fruit Juice, Cloudy Pear, 12 Glass Bottles, Pure Fruit Juice, Multipack 12 x 250 ml",410.0,12.0,2.93,308.88,25.74
FOL02 - 001,"Folkington's Fruit Juice, Cloudy Pear, 12 Glass Bottles, Pure Fruit Juice, Multipack 12 x 250 ml",410.0,40.0,9.76,1016.4,25.41
RUMMO014 - 001,"Rummo Casarecce No.88 - Artisan Italian Pasta, Ideal for Capturing Rich Sauces, 500g (Pack of 1)",409.0,44.0,10.76,270.6,6.15
FLO19B - 002 Prime,"Doves Farm Gluten Free White Bread Flour, 1kg",399.0,1.0,0.25,7.53,7.53
GHE01C,Cornichons in Vinegar,395.0,15.0,3.8,208.05,13.87
PIC10 - 002,Yutaka Fukujinzuke Mixed Vegetables Pickled 1 kg,395.0,3.0,0.76,23.25,7.75
PIC10 - 001,Yutaka Fukujinzuke Mixed Vegetables Pickled 1 kg,395.0,6.0,1.52,50.52,8.42
JUS01A - 001,Essential Cuisine - Premier Jus - Veal Jus (Concentrated Base) 1kg,391.0,1.0,0.26,31.97,31.97
TATECU001 - 007,"Tate and Lyle Fairtrade Demerara Rough Cut Sugar Cubes, 1kg",387.0,17.0,4.39,143.31,8.43
CAMBR010 - 001,"Cambrook - Dry Roasted Peanuts, 1kg Bag",376.0,72.0,19.15,893.16,12.4
CAMBR010 - 002,"Cambrook - Dry Roasted Peanuts, 1kg Bag",376.0,46.0,12.23,538.2,11.7
