SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
TATESO001 - 002,Tate & Lyle Dark Soft Brown Sugar - 4x3kg,104.0,3.0,2.88,106.02,35.34
SAL20 - 001,Le Guerandais Fleur De Sel From Guerande 125 g,104.0,1.0,0.96,10.8,10.8
CIF006 - 002,Cif Original White Cream Set 8 X 750Ml - 7200g,104.0,2.0,1.92,43.44,21.72
FLO16 - 009,Doves Farm | Rye Flour Wholegrain Organic | 6 X 1Kg,101.0,6.0,5.94,99.54,16.59
CUS06 - 001 Prime,Ambrosia Deluxe Custard 750g,101.0,1.0,0.99,7.96,7.96
SOS51 - 001 uk shipping,SOSA Powdered Smoke 500 g,101.0,4.0,3.96,115.28,28.82
OETKER002 - 002,Dr. Oetker Professional Vanilla Flavouring - 6x500ml,101.0,2.0,1.98,63.72,31.86
SUG08E - 001,The Cake Decorating Co. British Icing Sugar 25kg,101.0,2.0,1.98,77.34,38.67
SOS51 - 001,SOSA Powdered Smoke 500 g,101.0,13.0,12.87,383.37,29.49
TAYLOR002 - 001 uk shipping,"Taylors of Harrogate English Breakfast Tea, 20 Tea Bags (Pack of 6, Total 120 Teabags)",100.0,4.0,4.0,56.23,14.06
MIL06D - 013 Prime,Biona Organic Coconut Milk 4x400ml,100.0,7.0,7.0,91.98,13.14
COF22B - 007,Douwe Egberts Traditional Filter Coffee Sachets – Pack of 45 x 50g (Total 2250g) + Filters – Smooth & Rich Coffee Blend,99.0,11.0,11.11,589.49,53.59
MILLER010 - 001,Artisan The Best of Millers Crackers for Cheese 350g,98.0,9.0,9.18,110.25,12.25
VEG03AA - 002 Prime,Mutti | Triple Conc' Tomato Puree | 5 x 200g (UK),98.0,3.0,3.06,48.39,16.13
CAW12 - 001,Cawston Press | Ginger Beer | 24 x 330ML,98.0,2.0,2.04,63.18,31.59
VEG03AA - 002,Mutti | Triple Conc' Tomato Puree | 5 x 200g (UK),98.0,3.0,3.06,46.38,15.46
BAR29 - 002,"Jacob's Mini Cheddars Red Leicester Grab Bag, 45 g (Pack of 30)",98.0,1.0,1.02,19.98,19.98
SPR26B - 001 Prime,Sun-Pat Crunchy Peanut Butter 1kg,97.0,4.0,4.12,51.68,12.92
Crisps Bundle - 009 Prime,Brown Bag Retail Lightly Salted Crisps and Sea Salt & Malt Vinegar Crisps (2 Boxes),97.0,14.0,14.43,456.42,32.6
CAL32 - 001,Callebaut Gold 30.4% - Finest Belgian Caramel Chocolate Chips (callets) 2.5kg,96.0,6.0,6.25,366.66,61.11
CAL32 - 001 uk shipping,Callebaut Gold 30.4% - Finest Belgian Caramel Chocolate Chips (callets) 2.5kg,96.0,1.0,1.04,60.47,60.47
COF22C - 003 Prime,Douwe Egberts Professional Filter Blend Coffee 3KG French Press Cafetiere Ground Bag (3 x 1kg Bags),96.0,1.0,1.04,75.81,75.81
SWE62 - 001,Maynards Bassetts Wine Gum Pouch Bag 10 x 130gm,96.0,12.0,12.5,215.76,17.98
CLE01HA - 002, ,96.0,14.0,14.58,550.34,39.31
BAK23A - 001,Cacao Barry - Cocoa Butter 1kg,95.0,8.0,8.42,482.8,60.35
HOT08 - 002 Prime,Drink Me - Chai ARTISAN Blend Chai Latte - 1kg (1),95.0,5.0,5.26,89.85,17.97
STO19C,Essential Cuisine Chicken Stock Mix - 2x800g,95.0,6.0,6.32,280.76,46.79
THAITA013 - 003,Thai Taste Red Curry Paste in Tub 400 g (Pack of 3),94.0,4.0,4.26,57.32,14.33
BRE04B - 001 Prime,Chef William Tempura Batter Mix - 1kg,94.0,2.0,2.13,14.44,7.22
NAPKIN101 - 001,Bulky Soft White 2ply Napkins 2000 x 33cm x 33cm / 4 fold (32980),93.0,3.0,3.23,91.93,30.64
JAM03C - 001,Menz & Gasser Strawberry Jam Portions 100 x 20g,92.0,13.0,14.13,185.12,14.24
PRETZEL002 - 001,Penn State Original Sea Salted Pretzels – 33 x 30g | Baked Wheat Snacks | Vegan & Vegetarian | Individually Wrapped,92.0,12.0,13.04,338.28,28.19
TATESY002 - 003,Lyle's Black Treacle 7.25kg,92.0,2.0,2.17,47.81,23.9
TATECA001 - 003,Tate & Lyle Caster Sugar 2KG,91.0,6.0,6.59,51.18,8.53
TATECA001 - 006,Tate & Lyle Caster Sugar 2KG,91.0,2.0,2.2,15.9,7.95
Bundle - 148 Prime,Neilson Massey Extract Bundle of 8 Flavours,91.0,4.0,4.4,151.56,37.89
GLA01 - 004,ESSENTIAL CUISINE - Lobster Glace - 600g,90.0,2.0,2.22,63.94,31.97
ORI52B - 003,Hikari Shinshu Awase Miso 1 Kg (Pack of 2),90.0,4.0,4.44,47.4,11.85
HON40 - 001,"Tropical Forest | Forest Honey - Clear,Organic | 7Lb",89.0,4.0,4.49,138.8,34.7
VEG24 - 005 Prime,Cooks & Co Hearts of Palm (400g) - Pack of 6,89.0,7.0,7.87,172.41,24.63
JAM03B - 005 Prime,"Menz & Gasser - Jam Portions (Plastic) (100 x 20gm, Assorted)",88.0,10.0,11.36,159.2,15.92
WOODEN003 - 001 Prime,The Wooden Spoon Company 1.2kg (Fig & Apple Chutney),88.0,10.0,11.36,153.7,15.37
DRE10A - 001 Prime,Lion Ranch Dressing 2.27ltr (1),87.0,8.0,9.2,130.24,16.28
CAL33 - 004,Callebaut - ORANGE Callets - 2.5kg,87.0,2.0,2.3,140.04,70.02
Crisps Bundle - 005 Prime,"Brown Bag Oak Smoked Chilli Crisps and Tiger Prawn, Chilli & Lime Crisps (2 Boxes)",86.0,10.0,11.63,331.0,33.1
DRE03 - 001,Lion Thousand Island Dressing 2.27Ltr,86.0,4.0,4.65,52.84,13.21
CLE66 - 008,"Lenor Fabric Conditioner Summer Breeze 197 Washes, 3.92l",85.0,4.0,4.71,60.48,15.12
CLE66 - 008 Prime,"Lenor Fabric Conditioner Summer Breeze 197 Washes, 3.92l",85.0,1.0,1.18,15.69,15.69
CAW11 - 002,Cawston Press | Cloudy Apple In Cans | 24 x 330ML,84.0,1.0,1.19,32.49,32.49
ACC02A - 003,Golden Swan Vietnamese Prawn Cracker 2 Kg (Pack of 2),84.0,3.0,3.57,46.32,15.44
NOO05W,Yutaka Soba Noodles (10 x 250G),83.0,3.0,3.61,55.71,18.57
GRA02 - 005,Bisto Gravy Granules 1.9kg,83.0,16.0,19.28,297.44,18.59
CHO01 - 001 Prime,Cacao Barry - Intense Deep Black Cocoa Powder - 1kg,83.0,5.0,6.02,147.8,29.56
MAR12 - 001 Prime,BAKO - Cake Margarine - 12.5kg,83.0,5.0,6.02,170.4,34.08
RTS16 - 001,Essential Cuisine - The Sauce Collection - Peppercorn Concentrated Sauce Base 800g,83.0,10.0,12.05,315.34,31.53
FLO19A - 005,FREEE Gluten Free Self Raising White Flour 1kg x 2,83.0,1.0,1.2,10.47,10.47
ORI04C - 001,"Lee Kum Kee Hoisin Sauce, Vegan, 2.56 kg (Pack of 1)",83.0,9.0,10.84,154.08,17.12
