SKU,ASIN,Status,Buy Box Price,Lowest Price,Currency,Our Price,Winning,Offers
"CHO31B - 017",,Success,21.07,21.07,GBP,21.07,Yes,1
"CHO31B - 018",,Success,17.97,17.97,GBP,21.07,No,2
"CHO33B - 011",,Success,21.66,21.66,GBP,21.66,Yes,3
"CHO33B - 012",,Success,17.39,17.39,GBP,21.61,No,3
"CHO34A - 001",,Success,,11.84,GBP,11.97,No,3
"CHO94 - 003",,Success,,,,,No,0
"CHO94 - 005 Prime",,Success,,,,,No,0
"CHO94 - 006",,Success,,,,,No,0
"CHO94 - 007 Prime",,Success,,,,,No,0
"CHO94 - 008",,Success,,,,,No,0
"CHO94 - 010",,Success,,,,,No,0
"CHO94 - 012",,Success,,,,,No,0
"CHO94 - 013",,Success,,,,,No,0
"CHO94 - 017",,Success,,,,,No,0
"CHO94 - 018",,Success,,,,,No,0
"CHO94 - 022 Prime",,Success,,,,,No,0
"CHO94 - 023",,Success,,20.7,GBP,,No,1
"CHO94A - 001",,Success,,,,,No,0
"CHO94A - 001 One Day",,Success,,,,,No,0
"CHO95A - 001",,Success,,,,,No,0
"CHO95A - 001 Prime",,Success,,,,,No,0
"CHR03",,Success,16.52,16.27,GBP,16.52,Yes,2
"CHR03 - 001",,Success,8.31,8.31,GBP,15.95,No,3
"CHU00B - 001",,Success,8.24,8.24,GBP,,No,28
"CHU00C - 001",,Success,12.29,12.29,GBP,12.29,Yes,1
"CHU00E - 001",,Success,8.29,8.25,GBP,11.73,No,7
"CHU00E - 001 Prime",,Success,8.29,8.25,GBP,11.73,No,7
"CHU10 - 002 Prime",,Success,18.34,18.34,GBP,18.34,Yes,1
"CHU13 - 002 Prime",,Success,20.27,20.27,GBP,20.27,Yes,1
"CHU32 - 002 Prime",,Success,,,,,No,0
"CHU38 - 001",,Success,16.59,16.59,GBP,,No,3
"CHU38 - 001 not prime",,Success,16.59,16.59,GBP,,No,3
"CLA03B - 009",,Success,16.39,17.5,GBP,17.83,No,17
"CLA03B - 009 One Day",,Success,16.39,17.5,GBP,17.83,No,17
"CLE00G - 001",,Success,10.64,5.39,GBP,,No,4
"CLE01B - 008",,Success,16.92,18.48,GBP,23.86,No,18
"CLE01GB - 001 Prime",,Success,,14.09,GBP,22.35,No,25
"CLE01GB - 003 Prime",,Success,4.15,5.5,GBP,7.61,No,17
"CLE04 - 001",,Success,7.62,7.62,GBP,7.62,Yes,4
"CLE04 - 001 Prime",,Success,7.62,7.62,GBP,7.62,Yes,4
"CLE04 - 003 Prime",,Success,23.02,23.02,GBP,23.02,Yes,1
"CLE05 - 001",,Success,14.99,16,GBP,23.39,No,6
"CLE05 - 003 Prime",,Success,2.67,2.67,GBP,10.61,No,22
"CLE05 - 005",,Success,,18.89,GBP,23.39,No,9
"CLE05 - 006",,Success,19.72,19,GBP,23.39,No,5
"CLE05 - 007",,Success,21.09,20.38,GBP,23.39,No,4
"CLE06A - 002",,Success,,7.32,GBP,,No,13
"CLE06A - 004 Prime",,Success,9.99,9.99,GBP,,No,1
"CLE06A - 005 uk shipping",,Success,,,,,No,0
"CLE06A - 006",,Success,13.95,13.95,GBP,,No,1
"CLE22AA - 003 Prime",,Success,,23.44,GBP,23.44,No,2
"CLE22AA - 004",,Success,16.41,16.41,GBP,24.86,No,17
"CLE26D - 001 Prime",,Success,9.05,9.05,GBP,9.05,Yes,1
"CLE26D - 002",,Success,,7.71,GBP,8.38,No,6
"CLE66 - 008",,Success,15.79,15.79,GBP,16.87,No,7
"CLE66 - 008 Prime",,Success,15.79,15.79,GBP,16.87,No,7
"CLE66 - 012",,Success,6.5,6.5,GBP,16.87,No,9
"CLE70 - 001",,Success,11.29,10.99,GBP,11.6,No,3
"CLE70 - 003",,Success,,8.82,GBP,11.27,No,8
"CLE71B - 001",,Success,13.1,13.08,GBP,22.77,No,14
"CLOTHB002 - 001",,Success,15.6,15.6,GBP,15.6,Yes,1
"CLOTHB004 - 001 Prime",,Success,7.31,7.31,GBP,7.31,Yes,1
"CLOTHD001 - 001 Prime",,Success,8.66,8.66,GBP,8.66,Yes,1
"CLOTHG003 - 001 Prime",,Success,7.31,7.31,GBP,7.31,Yes,1
"CLOTHM001 - 001",,Success,7.49,7.47,GBP,8.99,No,18
"CLOTHM001 - 001 Prime",,Success,7.49,7.47,GBP,8.99,No,18
"CLOTHM001 - 002 Prime",,Success,9.69,9.69,GBP,9.69,Yes,1
"CLOTHM001 - 003 Prime",,Success,18.01,18.01,GBP,18.01,Yes,1
"CLOTHM002 - 001 Prime",,Success,10.33,10.33,GBP,10.33,Yes,1
"CLOTHM002 - 002 Prime",,Success,18.01,18.01,GBP,18.01,Yes,1
"CLOTHM003 - 001 Prime",,Success,9.69,9.69,GBP,9.69,Yes,1
"CLOTHM003 - 002 Prime",,Success,18.01,18.01,GBP,18.01,Yes,1
"CLOTHM003 - 004 Prime",,Success,7.99,7.95,GBP,9.69,No,14
"CLOTHR002 - 001 Prime",,Success,7.31,7.31,GBP,7.31,Yes,1
"Cloths Bundle - 001",,Success,12.71,12.71,GBP,12.71,Yes,1
"CLOTHS001 - 001 Prime",,Success,6.57,6.57,GBP,6.7,No,2
"CLOTHS002 - 001",,Success,7.99,7.72,GBP,7.72,No,2
"CLOTHS002 - 002",,Success,6.85,6.85,GBP,7.72,No,7
"CLOTHS003",,Success,6.63,6.63,GBP,6.86,No,3
"CLOTHS004 - 001 Prime",,Success,10.39,10.39,GBP,10.39,Yes,1
"CLOTHS004 - 002",,Success,8.27,8.27,GBP,9.72,No,8
"CLOTHT001 - 003",,Success,14.34,14.34,GBP,14.34,Yes,2
"CLOTHT001 - 003 Prime",,Success,14.34,14.34,GBP,14.34,Yes,2
"CLOTHY002 - 001 Prime",,Success,7.31,7.31,GBP,7.31,Yes,1
"COF09 - 001 Prime",,Success,,,,,No,0
"COL09",,Success,17.07,17.07,GBP,18.48,No,8
"COL09 - 007",,Success,18.48,18.48,GBP,18.48,Yes,2
"COL09 uk shipping",,Success,17.07,17.07,GBP,18.48,No,8
"COL10B",,Success,,10.22,GBP,11.78,No,2
"COL20J",,Success,15.48,15.48,GBP,,No,6
"COL22 - 001",,Success,,10.29,GBP,10.29,No,1
"COL23 - 001 Prime",,Success,15.09,15.09,GBP,20.08,No,7
"COL23 - 002",,Success,,10.29,GBP,10.29,No,1
"COL24 - 001",,Success,,6.62,GBP,6.62,No,1
"COL24 - 002",,Success,,,,,No,0
"COLAVI002 - 001 Prime",,Success,13.88,13.88,GBP,14.49,No,2
"COLAVI003 - 001 Prime",,Success,14.49,14.49,GBP,14.49,Yes,1
"COLAVI004 - 001 Prime",,Success,14.49,14.49,GBP,14.49,Yes,1
"COLAVI005 - 003",,Success,15.49,15.49,GBP,15.49,Yes,1
"COLAVI008 - 002",,Success,10.49,10.49,GBP,10.49,Yes,2
"COLAVI009 - 001 Prime",,Success,8.39,8.39,GBP,11.16,No,2
"COLAVI009 - 003",,Success,10.49,10.49,GBP,10.49,Yes,1
"COLAVI010 - 002 Prime",,Success,10.51,10.51,GBP,10.51,Yes,1
"COMPOT02 - 001 Prime",,Success,17.2,17.2,GBP,19.47,No,3
"CON01E - 001 Prime",,Success,19.31,19.31,GBP,19.31,Yes,1
"CON01E - 002 Prime",,Success,14.33,14.33,GBP,14.33,Yes,1
"CON02B - 001 Prime",,Success,17.14,17.14,GBP,17.14,Yes,1
"CON03 - 001 Prime",,Success,16.91,16.05,GBP,16.3,No,3
"CON05 - 002 Prime",,Success,13.38,12.99,GBP,19.38,No,7
"CON05 - 004 Prime",,Success,10,9.99,GBP,19.38,No,8
"CON05 - 005 Prime",,Success,9.99,11.49,GBP,19.38,No,11
"CON06 - 003 Prime",,Success,,15.99,GBP,18.01,No,3
"CON06 - 006",,Success,2.48,2.48,GBP,,No,1
"CON11 - 001",,Success,14.46,14.46,GBP,14.46,Yes,1
"CON12 - 001 Prime",,Success,13.47,13.47,GBP,13.47,Yes,1
"CON12 - 002 Prime",,Success,22,22,GBP,22,Yes,1
"CON12B - 002",,Success,3,3,GBP,8.99,No,3
"CON12B - 003",,Success,3,3,GBP,8.99,No,3
"CON20B - 001",,Success,6.38,6.38,GBP,10.15,No,7
"CON20B - 001 Prime",,Success,6.38,6.38,GBP,10.15,No,7
"CON32 - 002",,Success,8.99,8.99,GBP,,No,5
"CON32B - 001",,Success,,,,,No,0
"CON32C - 002",,Success,21.09,21.09,GBP,21.09,Yes,1
"COO04A",,Error,,,,,No,0
"COR20A - 001",,Success,12.04,12.04,GBP,12.04,Yes,5
"COR20A - 002",,Success,11.09,11.09,GBP,11.09,Yes,5
"COR20A - 003",,Success,12.04,12.04,GBP,12.04,Yes,1
"COR20A - 004",,Success,19.37,19.37,GBP,19.37,Yes,1
"COR21A - 002",,Success,11.74,11.74,GBP,11.74,Yes,1
"COR21A - 003",,Success,20.67,20.67,GBP,20.67,Yes,1
"COR21A - 004",,Success,12.5,11.74,GBP,11.74,No,4
"COR21A - 004 Prime",,Success,12.5,11.74,GBP,11.74,No,4
"COR34A - 001",,Success,12.47,12.47,GBP,12.48,No,2
"COR34A - 002",,Success,10.95,10.95,GBP,10.95,Yes,4
"COR34A - 002 Prime",,Success,10.95,10.95,GBP,10.95,Yes,4
"COR34A - 004",,Success,10.95,10.95,GBP,10.95,Yes,1
"COR34A - 005",,Success,19.1,19.1,GBP,19.1,Yes,1
"COR34A - 006",,Success,27.88,27.88,GBP,27.88,Yes,1
"COR50 - 002",,Success,,9.43,GBP,9.43,No,5
"COR50 - 002 Prime",,Success,,9.43,GBP,9.43,No,5
"COR50 - 003 Prime",,Success,,10.1,GBP,10.1,No,1
"COR50 - 005",,Success,,9.43,GBP,9.43,No,2
"COR50 - 005 Prime",,Success,,9.43,GBP,9.43,No,2
"COR50 - 006 Prime",,Success,,10.1,GBP,10.1,No,1
"COR50 - 007",,Success,,8.49,GBP,9.43,No,2
"COR51 - 001 Prime",,Success,17.71,17.71,GBP,17.71,Yes,3
"COR51 - 002",,Success,,8.05,GBP,10.31,No,7
"COR51 - 002 Prime",,Success,,8.05,GBP,10.31,No,7
"COR51 - 003 Prime",,Success,,10.31,GBP,10.31,No,3
"COR51 - 004 Prime",,Success,,8.05,GBP,10.31,No,3
"COR51 - 006 Prime",,Success,,10.31,GBP,10.31,No,3
"COR52 - 001 Prime",,Success,10.31,10.31,GBP,10.31,Yes,1
"COR52 - 003 Prime",,Success,,8.59,GBP,10.31,No,5
"CORECH003A - 001",,Success,9.13,9.13,GBP,9.13,Yes,1
"CORECH004 - 001",,Success,,,,,No,0
"CORECH007 - 001",,Success,,,,,No,0
"CORECH007 - 002",,Success,,,,,No,0
"CORECH009 - 001",,Success,,,,,No,0
"CORECH009 - 002",,Success,,,,,No,0
"CORECH015 - 001",,Success,,,,,No,0
"CORECH015 - 002",,Success,,,,,No,0
"CORESA002 - 001 Prime",,Success,12.84,12.84,GBP,12.84,Yes,1
"CORESA002 - 002 Prime",,Success,21.16,21.16,GBP,21.16,Yes,1
"CORESA003 - 001 Prime",,Success,,,,,No,0
"CORESA003 - 002 Prime",,Success,,,,,No,0
"CORESA004 - 001 Prime",,Success,18.97,18.97,GBP,18.97,Yes,1
"CORESA005 - 001 Prime",,Success,,,,,No,0
"CORESA007 - 001 Prime",,Success,14.55,14.55,GBP,14.55,Yes,1
"CORESA008 - 001 Prime",,Success,15.62,15.62,GBP,15.62,Yes,1
"CORESA009 - 001 Prime",,Success,10.71,10.71,GBP,10.71,Yes,1
"CORESA009 - 002 Prime",,Success,19.34,19.34,GBP,19.34,Yes,1
"CRI10",,Success,19.37,19.37,GBP,19.37,Yes,3
"CRI10  - 003",,Success,18.19,18.19,GBP,18.19,Yes,1
"CRI10 - 001",,Success,19.95,19.95,GBP,19.95,Yes,4
"CRI10 - 002",,Success,19.37,19.37,GBP,19.37,Yes,4
"CRI10 - 002 Prime",,Success,19.37,19.37,GBP,19.37,Yes,4
"CRI10 uk shipping",,Success,19.37,19.37,GBP,19.37,Yes,3
"CRI30",,Success,,16.99,GBP,18.18,No,8
"CRI30 - uk shipping",,Success,,16.99,GBP,18.18,No,8
"CRI31",,Success,,17.01,GBP,17.01,No,3
"CRI31 - 005",,Success,18.18,18.18,GBP,18.18,Yes,2
"CRI31 uk shipping",,Success,,17.01,GBP,17.01,No,3
"CRI33",,Success,,18.1,GBP,18.18,No,6
"CRI33 - 002",,Success,18.18,18.18,GBP,18.18,Yes,2
"CRI33 - 003",,Success,17.46,17.46,GBP,17.46,Yes,2
"CRI33 uk shipping",,Success,,18.1,GBP,18.18,No,6
"CRI34",,Success,,18.1,GBP,18.18,No,5
"CRI34 - uk shipping",,Success,,18.1,GBP,18.18,No,5
"CRI35",,Success,,17.58,GBP,17.58,No,4
"CRI35 - 002  One Day",,Success,,17.58,GBP,17.58,No,4
"CRI37",,Success,18.18,18.18,GBP,18.18,Yes,5
"CRI37 uk shipping",,Success,18.18,18.18,GBP,18.18,Yes,5
"CRI38 - 001",,Success,18.18,18.18,GBP,18.18,Yes,7
"CRI39 - 001",,Success,18.18,18.18,GBP,18.18,Yes,2
"CRI39 - 001 Prime",,Success,18.18,18.18,GBP,18.18,Yes,2
"CRI50 - 001",,Success,24.64,24.64,GBP,24.64,Yes,4
"CRI50 - 002",,Success,17.99,17.99,GBP,24.06,No,13
"CRI50 - 002 uk shipping",,Success,17.99,17.99,GBP,24.06,No,13
"CRI50 - 003",,Success,24.06,23.93,GBP,24.06,Yes,3
"CRI50 - 004",,Success,24.95,24.06,GBP,24.06,No,4
"CRI50 - 005 x2",,Success,22.88,22.88,GBP,22.88,Yes,1
"CRI50 - 007",,Success,22.88,22.88,GBP,22.88,Yes,1
"CRUSHA001 - 001",,Success,8.4,8.4,GBP,10.17,No,11
"CRUSHA001 - 001 Prime",,Success,8.4,8.4,GBP,10.17,No,11
"CRUSHA001 - 003",,Success,10.17,10.17,GBP,10.17,Yes,2
"CRUSHA001 - 003 Prime",,Success,10.17,10.17,GBP,10.17,Yes,2
"CRUSHA001 - 005 Prime",,Success,15.55,15.55,GBP,15.55,Yes,3
"CRUSHA001 - 010",,Success,14.98,14.98,GBP,14.98,Yes,5
"CRUSHA002 - 001",,Success,,3.49,GBP,9.91,No,6
"CRUSHA002 - 003",,Success,9.91,9.91,GBP,9.91,Yes,2
"CRUSHA002 - 003 Prime",,Success,9.91,9.91,GBP,9.91,Yes,2
"CRUSHA002 - 005",,Success,9.99,9.99,GBP,9.91,No,8
"CRUSHA002 - 005 Prime",,Success,9.99,9.99,GBP,9.91,No,8
"CRUSHA002 - 006",,Success,9.99,9.99,GBP,10.58,No,5
"CRUSHA002 - 007",,Success,9.91,9.91,GBP,9.91,Yes,2
"CRUSHA002 - 012 Prime",,Success,14.75,14.75,GBP,15.03,No,4
"CRUSHA003",,Success,7.8,7.8,GBP,10.17,No,10
"CRUSHA003 - 003",,Success,10.17,10.17,GBP,10.17,Yes,2
"CRUSHA003 - 003 Prime",,Success,10.17,10.17,GBP,10.17,Yes,2
"CRUSHA003 - 005",,Success,10.17,10.17,GBP,10.17,Yes,2
"CRUSHA003 - 008",,Success,10.17,10.17,GBP,10.17,Yes,2
"CRUSHA004 - 001",,Success,10.17,10.17,GBP,10.17,Yes,1
"CRUSHA004 - 002 Prime",,Success,6.49,8.4,GBP,10.84,No,9
"CRUSHA004 - 005",,Success,14.98,14.98,GBP,14.98,Yes,1
"CRUSHA005 - 001 Prime",,Success,,7.5,GBP,7.73,No,3
"CRUSHA005 - 002 Prime",,Success,19.44,19.44,GBP,,No,1
"CRUSHA005 - 003",,Success,7.06,7.06,GBP,7.06,Yes,2
"CRUSHA006 - 001 Prime",,Success,,30.48,GBP,,No,1
"CRUSHA006 - 003 Prime",,Success,14.62,14.62,GBP,,No,2
"CRUSHA006 - 004 Prime",,Success,,,,,No,0
"CRUSHA006 - 006 Prime",,Success,9.98,9.98,GBP,,No,1
"CRUSHA007 - 001 Prime",,Success,7.73,7.73,GBP,7.73,Yes,1
"CRUSHA007 - 002",,Success,9.34,9.34,GBP,9.34,Yes,2
"CRUSHA007 - 002 One Day",,Success,9.34,9.34,GBP,9.34,Yes,2
"CRUSHA007 - 004",,Success,20.56,20.56,GBP,20.56,Yes,1
"CUR06 - 001",,Success,12.7,12.7,GBP,20.39,No,3
"CUR06 - 002",,Success,20.39,20.39,GBP,20.39,Yes,1
"CUR07 - 001",,Success,15.45,15.45,GBP,20.39,No,2
"CUR09 - 001",,Success,19.43,19.44,GBP,20.39,No,4
"CUR10A - 001",,Success,14.54,14.54,GBP,20.39,No,4
"CUR11 - 001",,Success,20.38,20.38,GBP,20.39,No,2
"CUR12 - 001",,Success,15.45,15.45,GBP,20.39,No,4
"CUR15 - 001",,Success,20.4,20.4,GBP,20.44,No,3
"CUR15 - 001 Prime",,Success,20.4,20.4,GBP,20.44,No,3
"CUS02 - 002 Prime",,Success,7.53,7.53,GBP,7.53,Yes,2
"CUS02 - 003",,Success,13.69,13.69,GBP,13.69,Yes,2
"CUS02A",,Success,6.93,6.93,GBP,6.93,Yes,2
"CUS02A Prime",,Success,6.93,6.93,GBP,6.93,Yes,2
"CUS04 - 006 One Day",,Success,20.14,20.14,GBP,,No,5
"CUS06 - 004",,Success,8.2,8.2,GBP,8.2,Yes,1
"DAWN3.5D - 001 Prime",,Success,19.23,19.23,GBP,19.23,Yes,1
"DAWN3.5G - 001 Prime",,Success,19.44,19.44,GBP,19.44,Yes,1
"DES03 - 006",,Success,16.14,16.14,GBP,16.14,Yes,1
"DES03 - 007",,Success,15.99,17.78,GBP,16.14,No,5
"DES03 - 007 uk shipping",,Success,15.99,17.78,GBP,16.14,No,5
"DES04",,Success,16.99,16.79,GBP,16.92,No,6
"DES04 - 003",,Success,16.92,17.35,GBP,16.92,Yes,2
"DIP10E - 001",,Success,12.44,12.44,GBP,12.44,Yes,2
"DIP10E - 001 Prime",,Success,12.44,12.44,GBP,12.44,Yes,2
"DIS19 - 001",,Success,7.17,7.17,GBP,7.58,No,9
"DIS20 - 001 Prime",,Success,6.97,6.97,GBP,6.97,Yes,1
"DIS20 - 002 Prime",,Success,20.8,20.8,GBP,20.8,Yes,3
"DIS21 - 001 Prime",,Success,6.93,6.93,GBP,6.93,Yes,1
"DIS22 - 001 Prime",,Success,,,,,No,0
"DIS22 - 002 Prime",,Success,41.95,41.95,GBP,,No,2
"DIS22A - 001 Prime",,Success,6.77,6.77,GBP,6.77,Yes,1
"DIS22A - 002 Prime",,Success,18.84,18.84,GBP,18.84,Yes,3
"DIS23A - 001 Prime",,Success,6.73,6.73,GBP,6.73,Yes,1
"DOGBI001 - 002 Prime",,Success,11.99,11.99,GBP,,No,7
"DOGBI001 - 004 Prime",,Success,11.99,11.99,GBP,,No,7
"DOGBI001 - 007",,Success,,23.95,GBP,,No,4
"Doves Bundle - 001 Prime",,Success,9.99,9.99,GBP,12.45,No,2
"Doves Bundle - 002 Prime",,Success,18.16,18.16,GBP,18.16,Yes,1
"DRE01B - 001",,Success,12.6,12.6,GBP,12.6,Yes,1
"DRE01B - 002 Prime",,Success,20.15,20.15,GBP,20.15,Yes,1
"DRE02A",,Success,12.02,12.02,GBP,15.96,No,5
"DRE03 - 001",,Success,14.25,14.25,GBP,14.25,Yes,1
"DRE04 = 001",,Success,17.29,17.29,GBP,17.29,Yes,1
"DRE05 - 001",,Success,17.29,17.29,GBP,17.29,Yes,2
"DRE05 - 001 Prime",,Success,17.29,17.29,GBP,17.29,Yes,2
"DRE06 - 001",,Success,14.82,14.82,GBP,14.82,Yes,3
"DRE07 - 001 Prime",,Success,16.95,16.95,GBP,16.95,Yes,1
"DRE07 - 003 Prime",,Success,16.95,16.95,GBP,16.95,Yes,2
"DRE10 - 001 Prime",,Success,19,19,GBP,17.59,No,3
"DRI03A - 003",,Success,17.63,17.63,GBP,17.63,Yes,1
"DRI05AAA - 001 One",,Success,,,,,No,0
"DRI05BA - 001 Prime",,Success,13.23,13.23,GBP,13.23,Yes,1
"DRI10A - 001",,Success,12.02,12.02,GBP,12.02,Yes,1
"DRI12",,Success,13.79,13.79,GBP,13.79,Yes,2
"DRI12 Prime",,Success,13.79,13.79,GBP,13.79,Yes,2
"DRI12B - 001 Prime",,Success,15.28,15.28,GBP,15.28,Yes,1
"DRI12B - 002 Prime",,Success,14.61,14.61,GBP,14.61,Yes,2
"DRI12B-002",,Success,14.61,14.61,GBP,14.61,Yes,2
"DRI15 - 001",,Success,15.75,15.75,GBP,15.75,Yes,2
"DRI15 - 001 Prime",,Success,15.75,15.75,GBP,15.75,Yes,2
"DRI16 - 001 Prime",,Success,12.6,12.6,GBP,12.6,Yes,1
"DRI20 - 001 Prime",,Success,10.93,10.93,GBP,10.93,Yes,1
"DRICUR001 - 001",,Success,19.5,19.5,GBP,21.13,No,3
"DRICUR001 - 001 not prime",,Success,19.5,19.5,GBP,21.13,No,3
"DRICUR001 - 002 Prime",,Success,21.71,21.71,GBP,21.71,Yes,1
"DRICUR004 - 001 Prime",,Success,,,,,No,0
"DRIDAT001 - 001 Prime",,Success,13.44,13.44,GBP,13.44,Yes,1
"DRIDAT001-002",,Success,13.44,13.44,GBP,13.44,Yes,1
"DRIDAT002 - 003 Prime",,Success,14.23,14.23,GBP,14.23,Yes,1
"DRIDAT004 - 001",,Success,9.29,9.29,GBP,9.29,Yes,1
"DRIDAT006 - 003 One Day",,Success,14.02,14.02,GBP,14.02,Yes,1
"DRIFIG001 - 002 Prime",,Success,17.84,17.84,GBP,17.84,Yes,1
"DRIMIX001 - 003",,Success,18.39,18.39,GBP,18.39,Yes,2
"DRIMIX001 - 003 Prime",,Success,18.39,18.39,GBP,18.39,Yes,2
"DRIMIX001-002",,Success,18.96,18.96,GBP,18.96,Yes,1
"DRIMIX003 - 001 Prime",,Success,,,,,No,0
"DRIMIX004 - 001 Prime",,Success,17.92,17.92,GBP,17.92,Yes,1
"DRIPINE001 - 001 Prime",,Success,12.74,12.74,GBP,12.74,Yes,1
"DRIRAI001 - 003 Prime",,Success,18.57,18.57,GBP,18.57,Yes,1
"DRIRAI001-002",,Success,18.57,18.57,GBP,18.57,Yes,1
"DRIRAI002 - 001 Prime",,Success,11.19,11.19,GBP,11.19,Yes,1
"DRISUL001 - 001",,Success,16.59,16.59,GBP,17.8,No,3
"DRISUL001 - 001 not prime",,Success,16.59,16.59,GBP,17.8,No,3
"DRISUL001 - 003 Prime",,Success,18.37,18.37,GBP,18.37,Yes,1
"DRISUL001-002",,Success,18.37,18.37,GBP,18.37,Yes,1
"DRO01C - 001",,Success,6.49,6.99,GBP,12.83,No,10
"DRO09 - 001",,Success,,,,,No,0
"ED-3XZS-N7UV",,Success,7.78,7.78,GBP,7.78,Yes,2
"ELSIN001 - 001",,Success,,8.91,GBP,10.41,No,3
"ELSIN001 - 003",,Success,,16.49,GBP,16.49,No,6
"ELSIN001 - 003 Prime",,Success,,16.49,GBP,16.49,No,6
"ELSIN001 - 004",,Success,,9.99,GBP,9.99,No,4
"ELSIN001 - 004 Prime",,Success,,9.99,GBP,9.99,No,4
"ELSIN001 - 006 Prime",,Success,21.94,20.99,GBP,20.99,No,3
"ESS12 - 004",,Success,,8.69,GBP,8.69,No,2
"ESS12 - 005",,Success,,8.69,GBP,8.69,No,2
"ESS12 - 008",,Success,,7.59,GBP,8.69,No,4
"ESS12 - 008 Prime",,Success,,7.59,GBP,8.69,No,4
"ESS13 - 009 Prime",,Success,,8.53,GBP,8.53,No,1
"ESS13 - 010 Prime",,Success,12.93,12.93,GBP,12.93,Yes,1
"ESS13 - 011 Prime",,Success,20.42,20.42,GBP,20.42,Yes,1
"ESS13 - 014",,Success,,8.52,GBP,8.53,No,2
"ESS16 - 003",,Success,,7.98,GBP,9.2,No,3
"ESS16 - 004",,Success,,7.96,GBP,8.53,No,4
"ESS16 - 004 Prime",,Success,,7.96,GBP,8.53,No,4
"ESS16 - 006",,Success,,12.25,GBP,12.25,No,2
"ESS17 - 001",,Success,,7.96,GBP,9.2,No,3
"ESS18 - 002",,Success,8.53,8.48,GBP,8.53,Yes,3
"ESS18 - 002 uk shipping",,Success,8.53,8.48,GBP,8.53,Yes,3
"ESS18 - 003",,Success,8.28,8.28,GBP,8.53,No,3
"ESS18 - 003 uk shipping",,Success,8.28,8.28,GBP,8.53,No,3
"ESS19 - 001",,Success,,7.7,GBP,9.2,No,4
"ESS19 - 003",,Success,,8.57,GBP,9.2,No,2
"ESS20 - 001",,Success,,8.53,GBP,8.53,No,3
"ESS20 - 002",,Success,,9.2,GBP,9.2,No,2
"ESS20 - 003",,Success,,7.88,GBP,8.53,No,3
"ESS20 - 003 uk shipping",,Success,,7.88,GBP,8.53,No,3
"ESS20 - 006",,Success,,8.53,GBP,8.53,No,3
"ESS20 - 008",,Success,,8.53,GBP,8.53,No,1
"ESS21 - 001 Prime",,Success,,12.65,GBP,12.65,No,1
"ESS21 - 003",,Success,,12.64,GBP,12.65,No,7
"ESS21 - 004",,Success,,15.72,GBP,12.65,No,9
"F6-5ZX6-SKG8",,Success,,13.37,GBP,13.37,No,1
"FACEM001 - 001",,Success,6.66,6.66,GBP,6.66,Yes,1
"FACEM001 - 002",,Success,18.42,18.42,GBP,18.42,Yes,1
"FAT00B - 001",,Success,,7.45,GBP,,No,1
"FAT00C - 001 Prime",,Success,19.51,19.51,GBP,19.51,Yes,1
"FAT01B - 001 Prime",,Success,8.45,8.45,GBP,,No,3
"FAT03C - 001",,Success,14.42,14.42,GBP,14.42,Yes,2
"FAT03C - 001 Prime",,Success,14.42,14.42,GBP,14.42,Yes,2
"FIL01 - 001 Prime",,Success,20.62,20.62,GBP,20.62,Yes,1
"FIL01B - 001 Prime",,Success,20.15,20.15,GBP,20.15,Yes,1
"FIS10A - 001",,Success,12.85,12.85,GBP,12.85,No,9
"FIS10A - 002",,Success,12.85,12.85,GBP,12.85,No,9
"FIS10A - 003",,Success,12.85,12.85,GBP,12.85,Yes,3
"FIS10A - 004",,Success,12.85,12.85,GBP,12.85,Yes,2
"FIS10A - 005",,Success,12.85,12.85,GBP,12.85,Yes,3
"FIS10A - 010",,Success,12.85,12.85,GBP,12.85,Yes,2
"FIS10B - 002",,Success,,7.43,GBP,7.43,No,5
"FIS10B - 002 Prime",,Success,,7.43,GBP,7.43,No,5
"FIS10B - 003",,Success,6.12,6.12,GBP,6.12,Yes,2
"FIS10B - 007",,Success,8.75,8.74,GBP,8.74,No,3
"FIS10B - 008",,Success,12.68,12.68,GBP,12.68,Yes,2
"FLO01A - 001",,Success,5.9,5.9,GBP,5.9,Yes,2
"FLO01A - 001 Prime",,Success,5.9,5.9,GBP,5.9,Yes,2
"FLO01A - 002",,Success,14.15,14.15,GBP,14.15,Yes,2
"FLO01A - 002 Prime",,Success,14.15,14.15,GBP,14.15,Yes,2
"FLO02C - 008",,Success,18.61,18.61,GBP,18.61,Yes,2
"FLO02C - 008 Prime",,Success,18.61,18.61,GBP,18.61,Yes,2
"FLO03B - 001",,Success,6.14,6.14,GBP,6.14,Yes,2
"FLO03B - 001 Prime",,Success,6.14,6.14,GBP,6.14,Yes,2
"FLO03B - 002",,Success,15.28,15.28,GBP,15.28,Yes,2
"FLO03B - 002 Prime",,Success,15.28,15.28,GBP,15.28,Yes,2
"FLO04B - 008",,Success,22,22,GBP,22,Yes,2
"FLO04B - 008 Prime",,Success,22,22,GBP,22,Yes,2
"FLO05BA",,Success,,6.59,GBP,7.51,No,4
"FLO05BA - 002",,Success,12.82,12.82,GBP,12.82,Yes,2
"FLO05BA - 003",,Success,,8.99,GBP,10.16,No,2
"FLO07D - 001",,Success,,,,,No,0
"FLO09C - 001 Prime",,Success,7.24,7.24,GBP,7.24,Yes,1
"FLO16 - 0001",,Success,,6.46,GBP,,No,5
