SKU,ASIN,Status,Buy Box Price,Lowest Price,Currency,Our Price,Winning,Offers
"BLA03 - 001 Prime",,Success,12.62,12.62,GBP,12.62,Yes,2
"BOU06 - 001 Prime",,Success,,,,,No,0
"BOU07 - 001 Prime",,Success,16.48,16.48,GBP,16.48,Yes,1
"BOU08 - 001 Prime",,Success,16.43,16.43,GBP,16.43,Yes,1
"BOU09 - 001",,Success,15.76,15.76,GBP,15.76,Yes,1
"BOU50 - 001 Prime",,Success,15.26,15.26,GBP,15.26,Yes,1
"BOU51 - 001 Prime",,Success,15.22,15.22,GBP,15.22,Yes,1
"BOU52 - 001",,Success,15.26,15.26,GBP,15.26,Yes,1
"BRE01A - 001 Prime",,Success,12.24,12.24,GBP,13.35,No,2
"BRE01B - 001 Prime",,Success,9.99,9.99,GBP,13.35,No,2
"BRE01B - 003",,Success,8.63,8.63,GBP,11.82,No,2
"BRE03BA - 001",,Success,8.09,8.09,GBP,8.09,Yes,2
"BRE03BA - 002",,Success,8.09,8.09,GBP,8.09,Yes,2
"BRE03C - 005",,Success,10.5,10.5,GBP,10.5,Yes,2
"BRE03C - 005 Prime",,Success,10.5,10.5,GBP,10.5,Yes,2
"BRE04B - 001 Prime",,Success,3.95,3.95,GBP,7.48,No,8
"BRE04D - 001",,Success,8.77,8.77,GBP,8.77,Yes,1
"BRE12A - 003 Prime",,Success,,11.12,GBP,11.12,No,1
"BRE13 - 001 One Day",,Success,13.99,13.98,GBP,13.98,No,2
"BRE13 - 002 One Day",,Success,10.36,10.36,GBP,10.36,Yes,1
"BRE13 - 003 One Day",,Success,,9.89,GBP,10.36,No,3
"BRE13 - 005 One Day",,Success,21.98,21.98,GBP,,No,2
"BRE13 - 008 One Prime",,Success,18.91,17.57,GBP,17.57,No,2
"BRE13 - 009 Prime",,Success,17.57,17.57,GBP,17.57,Yes,3
"BRE19B - 001",,Success,,5.2,GBP,8.11,No,6
"BRE19B - 001 uk shipping",,Success,,5.2,GBP,8.11,No,6
"BRE19C - 001",,Success,,16.98,GBP,21.46,No,11
"BRF03C",,Success,10.45,10.45,GBP,10.45,Yes,1
"Bundle - 009",,Success,18.17,18.17,GBP,18.17,Yes,2
