(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B08Y17MLFY,B08L4M9N89,Thai Taste Red Curry Paste in Tub (400g),THAITA013 - 002,16,0,12,0,28,0,0.02%,0.00%,0.01%,0.00%,0.01%,0.00%,22,0,15,0,37,0,0.02%,0.00%,0.01%,0.00%,0.01%,0.00%,60.61%,0.00%,2,0,7.14%,0.00%,£14.42,£0.00,2,0
B08NVTDMXW,B08NVTDMXW,Confex 1x Core 10% Washing Up Liquid 5 Litre,CORECH003,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0.00%,0.00%,£18.04,£0.00,2,0
B08T8SXRSF,B08T8SXRSF,Bull-Dog Vegetable Fruit Sauce (Tonkatsu Sauce) 500ml (Pack of 3),ORI85 - 003,23,0,28,1,51,1,0.02%,0.00%,0.03%,0.02%,0.03%,0.01%,25,0,39,1,64,1,0.02%,0.00%,0.04%,0.01%,0.03%,0.01%,18.97%,0.00%,2,0,3.92%,0.00%,£35.94,£0.00,2,0
B08TMQ77LL,B08TMQ77LL,Fire Roasted Sweet Red Peppers 2.65KG Lefktro,VEG10D,9,2,19,3,28,5,0.01%,0.14%,0.02%,0.05%,0.01%,0.06%,15,2,24,4,39,6,0.01%,0.10%,0.02%,0.05%,0.02%,0.06%,100.00%,100.00%,2,1,7.14%,20.00%,£26.50,£13.25,2,1
B08W1RH2JZ,B08W1RH2JZ,Whole Baby Pears in Light Syrup - Tinned 425g,FRU19,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,1,0,8,0,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,3,1,75.00%,0.00%,£18.36,£6.12,2,1
B08W2G1KG7,B08W2G1KG7,French White Wine Tarragon Vinegar 75cl - Centaur,VIN21,6,0,7,0,13,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,6,0,8,0,14,0,0.00%,0.00%,0.01%,0.00%,0.01%,0.00%,100.00%,0.00%,2,1,15.38%,0.00%,£18.48,£9.24,2,1
B0922WKBVR,B0922WKBVR,Gold Leaf Gelatine 1KG,BAK09 - 001 Prime,9,0,13,1,22,1,0.01%,0.00%,0.02%,0.02%,0.01%,0.01%,12,0,14,1,26,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,95.65%,100.00%,3,0,13.64%,0.00%,£103.71,£0.00,2,0
B09BJZF93S,B09BJZF93S,"SOSA Isomalt ""F"" Refined (900g)",SOS42 - 001,8,0,7,1,15,1,0.01%,0.00%,0.01%,0.02%,0.01%,0.01%,11,0,7,1,18,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,100.00%,100.00%,2,0,13.33%,0.00%,£34.20,£0.00,2,0
B09XBD45FR,B09XBD45FR,Craic Cep Powder 250gm,MUS010 - 001,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,3,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,2,1,200.00%,0.00%,£66.02,£33.01,2,1
B0B2991L7H,B0B2991L7H,Parkers The Fine Cookie Rainbow Nation Cookie 1 x 36,FINECO002 - 001,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,0,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,2,0,66.67%,0.00%,£85.94,£0.00,2,0
