(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CD2L8LRY,B0CD2J78HY,Chefs Brigade Sundried Tomatoes NO OIL 1kg (2),MED03D - 004,25,1,25,6,50,7,0.00%,0.01%,0.00%,0.01%,0.00%,0.01%,29,1,35,12,64,13,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,100.00%,100.00%,1,0,2.00%,0.00%,£26.43,£0.00,1,0
B0CD2L8LRY,B0CD2K7KNT,Chefs Brigade Sundried Tomatoes NO OIL 1kg (6),MED03D - 006,1,0,5,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,6,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,£70.49,£0.00,1,0
B0CD7WDWNY,B0CD7WDWNY,"Crusha Milk Shake Syrup 1ltr (Chocolate, Pack of 12)",CRUSHA002 - 004,10,0,18,1,28,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,23,1,33,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,89.66%,100.00%,1,0,3.57%,0.00%,£52.11,£0.00,1,0
B0CF5M6BFD,B0CF5LMQ9Q,Hyve Squeezy Honey 340gm (1),HON04D - 001 Prime,26,0,56,1,82,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35,0,69,1,104,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,96.00%,0.00%,1,0,1.22%,0.00%,£5.93,£0.00,1,0
B0CFB8YHPN,B0CFB8CGH9, ,CHO28A - 003,11,0,13,1,24,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,0,14,1,25,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.00%,0.00%,2,0,8.33%,0.00%,£66.50,£0.00,1,0
B0CGM6GZP8,B0CGM6GZP8,"OTT Dessert Topping Sauces (OTT Toffee, Strawberry, Chocolate)",Bundle - 013,16,0,9,0,25,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18,0,17,0,35,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,97.06%,0.00%,1,0,4.00%,0.00%,£12.05,£0.00,1,0
B0CGM6RQCH,B0CGM6RQCH,"OTT Dessert Topping Sauces (OTT Strawberry, Toffee)",Bundle - 016 Prime,3,0,7,1,10,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,10,1,13,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,84.62%,0.00%,1,0,10.00%,0.00%,£8.99,£0.00,1,0
B0CGM6RQCH,B0CGM6RQCH,"OTT Dessert Topping Sauces (OTT Strawberry, Toffee)",Bundle - 016,3,0,7,1,10,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,10,1,13,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,84.62%,0.00%,1,0,10.00%,0.00%,£8.46,£0.00,1,0
B0CGM6Y8HZ,B0CGM6Y8HZ,"OTT Dessert Topping Sauces (OTT Chocolate, Toffee)",Bundle - 015,29,2,8,1,37,3,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,32,2,9,1,41,3,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,94.87%,100.00%,3,0,8.11%,0.00%,£28.44,£0.00,1,0
B0CGRH8X19,B0CGRH8X19,"Ariel Professional Liquipods All in One Regular 2x50 Pods (Pack of 2),100 Washes",CLE68 - 001 Prime,688,10,476,43,"1,164",53,0.05%,0.05%,0.04%,0.05%,0.04%,0.05%,894,16,599,55,"1,493",71,0.04%,0.06%,0.04%,0.04%,0.04%,0.04%,10.17%,0.00%,1,0,0.09%,0.00%,£31.59,£0.00,1,0
