(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B07CYTX6MD,B07CYTX6MD,"Callebaut 4 x 400g Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",BUNDLE007 - 001,387,10,0.18%,0.16%,513,13,0.18%,0.16%,45.20%,0.00%,17,0,4.39%,0.00%,£526.83,£0.00,16,0
B0FD4RX49B,B07QRFVC1W,"Two Farmers Crisps, Salt & Cider Vinegar Hand Cooked Crisps, Vegan and Vegetarian, Gluten Free, 100% Compostable Bags, 24 x 40g",CRI71 - 001 Prime,222,7,0.10%,0.11%,263,8,0.09%,0.10%,81.90%,25.00%,16,0,7.21%,0.00%,£421.04,£0.00,16,0
B085W1RFJP,B085W1RFJP,Premium Quality Nocellara Olives 1.5kg tub - Green Olive with Stone - Nocellara Del Belice Olives - 100% Sicilian - Packed with Olive Oil and Rapeseed Oil - Freshly Packed in Britain - Vegan!,OLI07A - 003,226,12,0.10%,0.19%,308,13,0.11%,0.16%,21.61%,58.33%,20,11,8.85%,91.67%,£299.60,£164.78,16,7
B086QSFC3C,B086QSFC3C,Freshers Lime 5ltr Juice Cordial,COR20A - 001,34,1,0.02%,0.02%,40,3,0.01%,0.04%,94.87%,0.00%,21,0,61.76%,0.00%,£248.04,£0.00,16,0
B0BDS1J64S,B0BDS1J64S,"Parkers Katsuobushi Dried Bonito Flakes, 500g, Cream",ORI60 - 001,24,1,0.01%,0.02%,27,3,0.01%,0.04%,95.83%,100.00%,19,2,79.17%,200.00%,£759.81,£79.98,16,1
B0CV7Z6WJX,B0CV7Z6WJX,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),ALP09A - 002 Prime,67,4,0.03%,0.06%,83,4,0.03%,0.05%,94.94%,100.00%,18,0,26.87%,0.00%,£311.08,£0.00,16,0
B0CXQ5TT62,B0CXQ5TT62,Triple Lion - Plain Uncooked Poppadoms - 1kg (Pack of 3),ACC01 - 002 Prime,37,0,0.02%,0.00%,50,0,0.02%,0.00%,97.83%,0.00%,16,0,43.24%,0.00%,£407.88,£0.00,16,0
B0FV3NDXVJ,B0FV3NDXVJ,Kettle Chips Sea Salt & Balsamic Vinegar Crisps 40g – Pack of 54 | Gourmet Potato Chips,KETTLE003 - 001,270,7,0.12%,0.11%,303,7,0.11%,0.08%,96.95%,100.00%,17,4,6.30%,57.14%,£577.15,£136.61,16,3
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,VIN17 - 002 Prime,62,0,0.03%,0.00%,97,0,0.03%,0.00%,98.86%,0.00%,15,1,24.19%,0.00%,£206.35,£13.99,15,1
B00G02FXE0,B00G02FXE0,CAPIRETE 20 - Spanish Reserve Sherry Vinegar - 750 ml,VIN17 - 001 Prime,48,1,0.02%,0.02%,60,1,0.02%,0.01%,94.44%,100.00%,15,0,31.25%,0.00%,£203.38,£0.00,15,0
B0BZ7W4Z98,B00Z9X01Q6,Tate & Lyle Caster Sugar - 6x2kg,TATECA001 - 002,56,4,0.03%,0.06%,84,5,0.03%,0.06%,28.00%,0.00%,15,2,26.79%,50.00%,£335.99,£44.90,15,2
B077BT67GY,B077BT67GY,Essential Cuisine Premier Red Wine Jus - 1x1.2kg,JUS04,187,3,0.08%,0.05%,246,4,0.09%,0.05%,89.59%,100.00%,17,2,9.09%,66.67%,£671.28,£81.94,15,1
B0793DBLFX,B0793DBLFX,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 400g,CAL03A - 010 Prime,527,5,0.24%,0.08%,704,7,0.25%,0.08%,21.33%,0.00%,16,0,3.04%,0.00%,£187.84,£0.00,15,0
B08FSRZJCW,B08FSRZJCW,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Tin,OIL02I - 001,630,12,0.29%,0.19%,893,14,0.31%,0.17%,98.40%,100.00%,15,0,2.38%,0.00%,£567.09,£0.00,15,0
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,20,2,0.01%,0.03%,24,3,0.01%,0.04%,95.24%,100.00%,23,12,115.00%,600.00%,£217.81,£113.64,15,5
