(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0FRT163MJ,B004GPEU0Q,Pot Noodle Chicken & Mushroom Standard Pot Noodle instant vegetarian snack quick to make noodles 12x 90 g,"1,099",21,0.15%,0.08%,"1,409",27,0.14%,0.07%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004GPEU0Q,B004GPEU0Q,Pot Noodle Chicken & Mushroom Standard Pot Noodle instant vegetarian snack quick to make noodles 12x 90 g,"4,519",68,0.60%,0.25%,"5,605",94,0.57%,0.25%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4DND2KV,B004HAVAI0,"Geeta's Premium Mango Chutney 1.5Kg - Authentic Chutney Jar Tangy, Spicy, and Flavorful Indian Condiment Spread for Sandwiches, and Snacks – Gluten-Free, Vegan",501,16,0.07%,0.06%,679,21,0.07%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004HICPYA,B004HICPYA,"Sunpride | Orange Juice, 12 x 1 Litre Carton",117,8,0.02%,0.03%,128,8,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004HICPZ4,B004HICPZ4,Sunpride Apple Juice 1 Litre (Pack of 12),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004HU1RII,B004HU1RII,"Heinz Beans 6x2,62kg",39,2,0.01%,0.01%,43,2,0.00%,0.01%,21.95%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0C34KCRQC,B004I3KVYU,Diet Coke 24 x 500ml PET,429,8,0.06%,0.03%,612,8,0.06%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DCZRHHX6,B004I3OWDG,Coca Cola Glass Bottle 24x330ml,"1,700",59,0.22%,0.22%,"2,452",83,0.25%,0.22%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0CHSQN4ZL,B004I9IKW4,"Lavazza, Caffè Decaffeinato, Ground Coffee, 8 Packs of 250 g, Ideal for Moka Pot, Filter Machine and French Press, Aromatic Notes of Dried Fruits, Arabica and Robusta, Intensity 3/10, Medium Roasting","1,688",75,0.22%,0.28%,"2,287",95,0.23%,0.26%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0CM3RD6BR,B004IU48YM,"Schwartz Bacon Flavour Bits, Smoky & Rich Flavour, Adds Texture to Classic Dishes, Versatile & Easy to Use, 320g",172,3,0.02%,0.01%,209,3,0.02%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004IU4BXK,B004IU4BXK,Schwartz Bacon Flavoured Bits 320g (Pack of 6),62,6,0.01%,0.02%,76,8,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004J0ESFK,B004J0ESFK,NESQUIK Banana Plasticbox 10x300g N7 GB,328,8,0.04%,0.03%,362,10,0.04%,0.03%,2.64%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B099PGSSLP,B004JUA5FW,"Tabasco Pepper Sauce, 1er Pack (1 x 350 ml",707,27,0.09%,0.10%,915,33,0.09%,0.09%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004K7VYHW,B004K7VYHW,"Yutaka Sushi Rice Originario 500 g | Premium Short-Grain Sticky Rice for Authentic Sushi, Onigiri & Poke Bowls",366,2,0.05%,0.01%,426,2,0.04%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B074KHZCL3,B004KZHC5W,TruffleHunter - Minced Black Truffle - Preserved Truffles in Extra Virgin Olive Oil - 80g,619,13,0.08%,0.05%,824,18,0.08%,0.05%,0.40%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F9ZSK739,B004L5BQCQ,"Lee Kum Kee Hoisin Sauce, Vegan, 2.56 kg (Pack of 1)",953,21,0.13%,0.08%,"1,168",28,0.12%,0.08%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004LSGEXY,B004LSGEXY,Truvia Sweetener from the Stevia Leaf 2 x 270g,52,2,0.01%,0.01%,66,2,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004NJ6JTK,B004NJ6JTK,Manora Shrimp Chips (Uncooked),6,1,0.00%,0.00%,8,1,0.00%,0.00%,100.00%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B088MH7KY6,B004OB6Q18,Twinings Earl Grey Envelopes - Quantity: 6 x 50 bags.,36,3,0.00%,0.01%,53,5,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B07BMCDZ63,B004QPHXL4,"Yorkshire Tea, One Cup Tea Bags 3 Kg","2,332",20,0.31%,0.07%,"2,586",24,0.26%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0C5K3S5RS,B004RAOUUU,"Epicure Black Beans in Salted Water, 400 g (Pack of 12) – Plant-Based Protein & Fibre in Every Tin, Staple Ingredient for Tasty, Healthy Dishes",109,7,0.01%,0.03%,143,9,0.01%,0.02%,1.60%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0C5K3S5RS,B004RAOUXC,"Epicure Tinned Borlotti Beans in Salted Water, 400 g (Pack of 12) – Fibre-Rich, Low Fat & Protein Packed Beans, Perfect for Healthy Cooking & Shelf-Stable Cuisine",56,2,0.01%,0.01%,69,2,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0D4R6VF7G,B004SBQYMU,"Maldon - Sea Salt Flakes, Unique Pyramid Shaped Salt Flakes, Perfect for a Wide Range of Dishes, Hand-Harvested for Four Generations, 1.4kg Tub","1,653",77,0.22%,0.28%,"2,176",115,0.22%,0.31%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0D6VZJYHD,B004TEPUGC,"Eager Orange Juice with Bits 100% Squeezed Perfect Fruit Mixer, NFC Not From Concentrate, 1 Litre (Pack of 8)",324,13,0.04%,0.05%,397,15,0.04%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0D6W3QM9G,B004TEZJPE,"Eager Cloudy Pineapple Juice 100% Pressed, Refreshing Fruit Drink, NFC Not From Concentrate, 1 Litre (Pack of 8)",266,12,0.04%,0.04%,321,13,0.03%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0BX2VPC8F,B004ZPH5CC,Taylors of Harrogate Yorkshire Tea 1040 Single Cup Tea Bags (2 Pack),126,18,0.02%,0.07%,149,23,0.02%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B004ZPH6JY,B004ZPH6JY,Yorkshire Single Cup Tea Bags 1040 Pack 3.25kg (12 Pack),12,1,0.00%,0.00%,19,2,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0050O7MAW,B0050O7MAW,"Flying Goose Hoisin Sauce, 730 ml, Pack of 6",2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0C2WYNSKF,B0051BU5LC,"Knorr Gluten Free Gravy Granules for Meat Dishes, 25 Litres","3,882",59,0.51%,0.22%,"4,597",74,0.47%,0.20%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4DHYZC8,B0051GCRA4,Biscoff Original Caramelised Single Biscuits (Pack of 300 - catering size),"4,699",767,0.62%,2.84%,"6,258",989,0.64%,2.68%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0051GNHJ4,B0051GNHJ4,Coca-Cola Original Taste 24 x 330ml Cans,"2,948",101,0.39%,0.37%,"3,915",134,0.40%,0.36%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0FR3DN2HJ,B0052ACIUS,"Paxo Sage and Onion Stuffing Mix, 2.5 kg Tub (Pack of 1)",73,4,0.01%,0.01%,93,4,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0FQWNFGD1,B0052ACIUS,"Paxo Sage and Onion Stuffing Mix, 2.5 kg Tub (Pack of 1)",2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0053OD50A,B0053OD50A,"Maille Wholegrain Mustard since 1747 for pork, beef, and salad dressings 210 g",136,3,0.02%,0.01%,157,3,0.02%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0C8B5FFXT,B0054HGJ0Y,Fanta Can Orange 330 ml (Pack of 24),"3,441",186,0.45%,0.69%,"4,536",248,0.46%,0.67%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005626IU8,B005626IU8,Lakeland Semi Skimmed (Green) Milk Jiggers 120's,2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0057EP8NI,B0057EP8NI,Pot Noodle Original Curry Standard Pot instant vegetarian snack quick to make noodles 12x 90 g,236,11,0.03%,0.04%,276,12,0.03%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0058BD1OI,B0058BD1OI,"Hanamaruki Miso White 1kg | Traditional Japanese Fermented Soybean Paste, Mild & Smooth Flavor, All-Natural",389,20,0.05%,0.07%,538,32,0.05%,0.09%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0058GXFB2,B0058GXFB2,TWININGS TEAS Aromatics - Earl Grey 50bags (PACK OF 1),40,3,0.01%,0.01%,56,7,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0058U93FA,B0058U93FA,"Elsinore - Black Lumpfish Caviar, Medium Size, Salty Flavour, 100g",17,0,0.00%,0.00%,24,0,0.00%,0.00%,4.35%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005C5HZI8,B005C5HZI8,Crusha Chocolate Milkshake Flavouring 1L Bottle,120,1,0.02%,0.00%,169,4,0.02%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0CZGKY99L,B005D50WD2,"Marmite Yeast Extract Vegan Spread, 600 g Tub","2,373",54,0.31%,0.20%,"3,145",86,0.32%,0.23%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0C33SC3W9,B005EC0TCS,"Knorr Patak's Professional Tandoori Paste, 1.1kg",208,1,0.03%,0.00%,248,1,0.03%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B08C3G2ZFD,B005GZRT2Q,Macphie Toffee Dessert Topping Sauce 500 g (Pack of 6),18,2,0.00%,0.01%,23,3,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B094Z121C7,B005HI8098,Del Monte Peach Slices in Juice 415 g (Pack of 12),783,12,0.10%,0.04%,"1,009",12,0.10%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005IPJQF2,B005IPJQF2,Taylor and Colledge Vanilla Bean Paste 65 g (Pack of 2),2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005R04GG2,B005R04GG2,Monin Caramel Syrup - 6x70cl,13,0,0.00%,0.00%,18,0,0.00%,0.00%,17.65%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005R04H1Q,B005R04H1Q,"Monin Chocolate Syrup 70cl Case of 6, Transparent",3,0,0.00%,0.00%,3,0,0.00%,0.00%,33.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005R04KA4,B005R04KA4,Monin Hazelnut Syrup 70cl - Pack of 6,7,1,0.00%,0.00%,9,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005R05XAA,B005R05XAA,"Weetabix, Breakfast, Packed with Fibre, High in Vitamin D, Source of Iron, 96 Portions of 1 Biscuit (18g)",665,20,0.09%,0.07%,755,23,0.08%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B093CPH8Q9,B005TFYGGA,Folkingtons Cloudy Apple Juice - 12 x 250ml Bottles,321,30,0.04%,0.11%,442,52,0.05%,0.14%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B005TH95JQ,B005TH95JQ,"Portwest A590 Heat Resistant 250˚C Glove White, Large",17,4,0.00%,0.01%,22,6,0.00%,0.02%,31.82%,16.67%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0CHCQCK4J,B005X9QQ38,"MONIN Coconut Fruit Mix Puree 1L for Cocktails and Frappes. Vegetarian, Allergen-Free, 100% Natural Flavours and Colourings. 2-in-1 Coconut Puree and Sugar Syrup Hybrid",148,11,0.02%,0.04%,192,20,0.02%,0.05%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0069KO38K,B0069KO38K,Doves Farm Xanthan Gum 1 kg (Pack of 3),3,0,0.00%,0.00%,4,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0069KOLY6,B0069KOLY6,Taylor and Colledge Queen Vanilla Bean Extract 100 ml (Pack of 3),17,1,0.00%,0.00%,21,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0069RPWCO,B0069RPWCO,Free And Easy Dairy Free Cheese Sauce Mix 130g-6 Pack,65,1,0.01%,0.00%,79,2,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DFVLC2J7,B006CQVA0U,Fentimans Dandelion and Burdock - Botanically Brewed Soft Drink - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,"1,026",7,0.14%,0.03%,"1,304",9,0.13%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006ISXC6W,B006ISXC6W,Linghams Chilli Sauce 280 ml (Pack of 8),1,1,0.00%,0.00%,1,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006KRHTSI,B006KRHTSI,Lee Kum Kee Double Deluxe Soy Sauce 500ml | Naturally Brewed with Double Fermentation,44,3,0.01%,0.01%,59,3,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006LJ0RR0,B006LJ0RR0,"Forno Bonomi Savoiardi Lady Fingers, 400g",53,2,0.01%,0.01%,68,2,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006M02Z00,B006M02Z00,500ml Dr. Oetker Vanilla Flavouring Essence,507,10,0.07%,0.04%,701,12,0.07%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006MVUU8I,B006MVUU8I,Freee by Doves Farm Gluten Free Plain White Flour 1kg (Pack of 5),64,5,0.01%,0.02%,86,9,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006O008TI,B006O008TI,Cadbury Drinking Hot Chocolate - 6x2kg,3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B006VDKOOM,B006VDKOOM,Plastic Microwave Container. 500ml. Box quantity: 250. IDEAL FOR TAKEAWAYS OR FOOD STORAGE.,38,2,0.01%,0.01%,54,4,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B082YQ6JXJ,B0070SGNVU,Mae Ploy Thai Yellow Curry Paste 400 g (Pack of 4),33,1,0.00%,0.00%,45,2,0.00%,0.01%,4.65%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0070SGNWO,B0070SGNWO,Mae Ploy Red Curry Paste 400 g (Pack of 4),1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0074FNRPY,B0074FNRPY,Silver Spoon Sugar Icing Sugar - 1 x 3kg,15,0,0.00%,0.00%,19,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0074FOGMC,B0074FOGMC,Batchelors Instant Cheese Sauce - 1 x 1.68kg,16,0,0.00%,0.00%,19,0,0.00%,0.00%,93.75%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0076UJ8BY,B0076UJ8BY,Callebaut Dark Chocolate Couverture 5 kg,10,0,0.00%,0.00%,10,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0077PO4O4,B0077PO4O4,"Nestlé Carnation Cook With Caramel, 397 g (Pack of 6)",4,0,0.00%,0.00%,4,0,0.00%,0.00%,75.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B09ML6VL6K,B0077PR2T8,Ribena Blackcurrant Juice Drink 500ml - Multipack of 12 | Real Fruit | Rich In Vitamin C | No Artificial Colours or flavous | Fruity Refreshment | Ready To Drink | 100% Recycled,"3,655",65,0.48%,0.24%,"4,907",85,0.50%,0.23%,0.02%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0077PS4EK,B0077PS4EK,Tate and Lyle Demerara Sugar 1 Kg (pack Of 10),2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B007CI4PTU,B007CI4PTU,"Nestle KitKat Classic chocolate bar, crunchy bar with milk chocolate & crispy waffle, pack of 24 (24x41.5g)","1,284",84,0.17%,0.31%,"1,605",95,0.16%,0.26%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B09ML667JR,B007H6ADXE,Lucozade Sport Orange Energy Drink - 12 x 500ml,28,1,0.00%,0.00%,30,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B007OU5V8A,B007OU5V8A,Fanta Orange cans Soft Drinks 330ml x 24,60,2,0.01%,0.01%,66,2,0.01%,0.01%,15.38%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B007SVMZXY,B007SVMZXY,[Catering Take Away] - Shoda Soy Sauce 8g*200 Sachets,115,9,0.02%,0.03%,167,14,0.02%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B007XR2WUY,B007XR2WUY,Robertsons Mincemeat Classic Jam 411 g (Pack of 6),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B007XR8UZK,B007XR8UZK,"Marmite Spread rich in B vitamins, no added sugar Yeast Extract delicious breakfast spread for the whole family 250 g",4,0,0.00%,0.00%,7,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0081G1QSK,B0081G1QSK,Cooks & Co Anchovy Fillets in Oil 50 g (Pack of 100),2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B089PF3NLF,B0081G1QW6,Cooks & Co Pitted Black Cherries in Syrup 850 g (Pack of 6),616,20,0.08%,0.07%,857,33,0.09%,0.09%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0081G1R0M,B0081G1R0M,Cooks & Co Sweet Red Peppers 390 g (Pack of 12),117,2,0.02%,0.01%,141,2,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0083RFB5Q,B0083RFB5Q,Pot Noodle Bombay Bad Boy (Pack Of 12,10,1,0.00%,0.00%,15,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0083S7ZPO,B0083S7ZPO,Original Curry Pot Noodle (Pack Of 12),6,0,0.00%,0.00%,6,0,0.00%,0.00%,16.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DY85DF5Q,B0087C7H2C,"Securit SMA510-V8-WT Pieces Liquid Chalk Marker Wallet Pack, White, Medium 2-6mm Nib, 8 pc, Multi-Color",105,18,0.01%,0.07%,152,25,0.02%,0.07%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0088AXODO,B0088AXODO,Tate & Lyle Jam and Pectin Sugar 1 Kg (Pack of 5),28,1,0.00%,0.00%,42,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0BNSZB2L7,B008CMQNOA,Fever Tree Premium Soda Water - 24x200ml,13,0,0.00%,0.00%,17,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B082YPF7MZ,B008CNAQDI,Karo Light Corn Syrup 473ml (1 Pint) (Pack of 3),111,2,0.01%,0.01%,136,3,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0CH1LNQ4Y,B008FNZ1MQ,Monin Gingerbread Syrup - 6x70cl,52,3,0.01%,0.01%,56,4,0.01%,0.01%,36.84%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0CH1LNQ4Y,B008FNZ374,Monin Vanilla Syrup - 6x70cl,71,4,0.01%,0.01%,75,4,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008FRLM0W,B008FRLM0W,THREE PACKS of Taylor & Colledge Vanilla Bean Paste 65g,6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008FRMULW,B008FRMULW,Freee by Doves Farm Gluten Free Plain White Flour 1kg (Pack of 3),11,0,0.00%,0.00%,16,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008GSMCRM,B008GSMCRM,Chefs Larder Marrowfat Processed Peas In Sugared Salt Water 2.66kg,2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0FQB9GWC3,B008K0Y242,"Yutaka Wasabi Paste 43g (Pack of 2) | Authentic Japanese Horseradish Condiment for Sushi, Sashimi, Noodles & Sauces | Vegan-Friendly, Ready-to-Use Tube",28,0,0.00%,0.00%,39,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008O56WCS,B008O56WCS,Truvia Sweetener 270 g,6,0,0.00%,0.00%,9,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008PDDNBW,B008PDDNBW,"Thai Taste Red Curry Paste in Tub, 400g",313,6,0.04%,0.02%,399,7,0.04%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008Q906L0,B008Q906L0,Sunpride Orange Juice 12/1L,3,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008Q906UG,B008Q906UG,Sunpride apple juice 12/1L,3,0,0.00%,0.00%,4,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008RVP5DG,B008RVP5DG,Del Monte Apricot Halves in Syrup 420 g (Pack of 12),2,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0FQB9GWC3,B008SAUD6U,"Yutaka Wasabi Paste 43g | Authentic Japanese Horseradish Condiment for Sushi, Sashimi, Noodles & Sauces | Vegan-Friendly | Ready-to-Use Tube",22,0,0.00%,0.00%,32,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008TN6E9Q,B008TN6E9Q,Sosa Procrema Cold Ice Cream Stabiliser 3 kg,9,3,0.00%,0.01%,9,3,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008X6CR0O,B008X6CR0O,"Monin Vanilla Frappe Mix 1.36kg Tub - Flavoured Coffee Powder for Coffee Shops - Coffee Roast Level, total_eaches",399,12,0.05%,0.04%,515,16,0.05%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B008Y3PANW,B008Y3PANW,"Taylors of Harrogate Decaffeinated Breakfast Tea Bags, Pack of 20, 50g",148,2,0.02%,0.01%,173,2,0.02%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0094D56IA,B0094D56IA,"Tilda Legendary Rice Everyday Rice, 4kg",35,1,0.00%,0.00%,36,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DX763BXB,B009C324QY,"Le Guerandais Celtic Coarse Grey Sea Salt In 1kg Bags, Hand Harvested In Guerande/France",677,10,0.09%,0.04%,975,10,0.10%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B08J8ZSGF3,B009F7C5PM,"Truvia Sweetener, 2x270g",7,0,0.00%,0.00%,10,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DFVLC2J7,B009F7OFOQ,Fentimans Cherry Cola - Botanically Brewed Cola with a Cherry Twist - Exquisitely Crafted & Refreshing Soft Drinks - Gluten-Free and Vegan Friendly Soft Drinks - 12 x 275ml Bottles,590,12,0.08%,0.04%,732,12,0.07%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B009FV42W2,B009FV42W2,Frenchs 100% Natural Classic Yellow Mustard 2.98kg Catering Size Tub,3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0BN57ZDBC,B009GJKH7W,Fanta Lemon Cans - 24x330ml,5,0,0.00%,0.00%,7,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B009HDUMD6,B009HDUMD6,Callebaut Chocolate Caramel Flavour Easi-Melt Buttons Callets 2.5 Kg,3,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B009HSJBQU,B009HSJBQU,Porcini Dried Mushrooms 500g,14,1,0.00%,0.00%,15,1,0.00%,0.00%,100.00%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B009IUHFKG,B009IUHFKG,Robertsons Traditional Mincemeat - 6 x 411gm,73,2,0.01%,0.01%,97,2,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
