(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B01B7GJWSQ,B01B7GJWSQ,Tate and Lyle Fairtrade Light Soft Brown Sugar 25 kg,40,5,0.01%,0.02%,45,5,0.00%,0.01%,95.35%,100.00%,26,6,65.00%,120.00%,"£1,001.78",£231.18,22,3
B01B7GJX5I,B01B7GJX5I,Tate and Lyle Fairtrade Caster Sugar 25 kg,79,12,0.01%,0.04%,93,13,0.01%,0.04%,77.53%,70.00%,22,4,27.85%,33.33%,£747.12,£135.84,22,4
B0CV151M43,B07ZB5K9ZD,Brown Bag Crisps - Rosemary and Sea Salt 40g (Pack of 20),130,4,0.02%,0.01%,157,5,0.02%,0.01%,58.50%,0.00%,23,0,17.69%,0.00%,£424.17,£0.00,22,0
B0CBM1KDDG,B092RV833S,Callebaut Finest Belgian Gold Chocolate with Caramel Couverture Callets 400g,200,2,0.03%,0.01%,279,5,0.03%,0.01%,50.58%,0.00%,24,0,12.00%,0.00%,£387.51,£0.00,22,0
B0D9HPY6SZ,B0D9HPY6SZ,Ready Brek Original 750gm,96,1,0.01%,0.00%,117,1,0.01%,0.00%,93.69%,0.00%,30,1,31.25%,100.00%,£276.00,£9.20,22,1
B0DVJ17T8C,B0DVJ17T8C,Callebaut - Dark - 70.5% Callets - 2.5kg - (Sold by Parkers Foodservice) 70-30-38 (1 Pack),102,3,0.01%,0.01%,145,3,0.01%,0.01%,83.33%,100.00%,22,0,21.57%,0.00%,"£1,026.68",£0.00,22,0
B0000DC32H,B0000DC32H,"Monin Hazelnut Syrup, 750 ml Hazelnut",58,3,0.01%,0.01%,75,3,0.01%,0.01%,92.75%,66.67%,22,0,37.93%,0.00%,£306.68,£0.00,21,0
B085W3HF4M,B085W3HF4M,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,114,0,0.02%,0.00%,140,0,0.01%,0.00%,95.24%,0.00%,34,0,29.82%,0.00%,£356.66,£0.00,21,0
B087BJQVYX,B087BJQVYX,"Cambrook - Dry Roasted Peanuts, 1kg Bag",163,15,0.02%,0.06%,214,22,0.02%,0.06%,16.10%,0.00%,24,0,14.72%,0.00%,£299.04,£0.00,21,0
B08V5KBK95,B08V5KBK95,Folkingtons Pineapple Juice - 12x250ml,30,1,0.00%,0.00%,32,1,0.00%,0.00%,100.00%,100.00%,22,5,73.33%,500.00%,£464.65,£109.35,21,4
B0CJQKPVZ8,B0CJQJJT1X,"Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Kiwi, Lime & Mint",34,1,0.00%,0.00%,48,1,0.00%,0.00%,86.05%,100.00%,23,1,67.65%,100.00%,£554.38,£23.72,21,1
B0CLGX695B,B0CLGWW5P6,24 Pack Chocolate | 24 Packs of 51 g | Milk Chocolate | Bulk Gift Box (1 Box (24 Bars)),261,11,0.03%,0.04%,325,14,0.03%,0.04%,49.83%,45.45%,23,4,8.81%,36.36%,£434.24,£75.52,21,2
B0DVJ8R115,B0DVHWT7NG,Callebaut - W2 White - 28% Callets - 2.5kg (Sold by Parkers Foodservice) (1 Pack),108,4,0.01%,0.01%,135,9,0.01%,0.02%,96.03%,100.00%,22,4,20.37%,100.00%,£995.30,£180.84,21,3
B08WHKR88F,B08WHKR88F,Tonka Beans 250g Centaur,47,3,0.01%,0.01%,61,4,0.01%,0.01%,91.07%,100.00%,20,4,42.55%,133.33%,£483.24,£94.44,20,4
B0DPJF7N4F,B0B61D6XB1,"JACOB'S Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",81,4,0.01%,0.01%,101,5,0.01%,0.01%,48.00%,0.00%,22,0,27.16%,0.00%,£450.65,£0.00,20,0
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),65,2,0.01%,0.01%,79,2,0.01%,0.01%,49.33%,0.00%,20,0,30.77%,0.00%,£428.80,£0.00,19,0
B0CH1LNQ4Y,B0049DKRD4,"MONIN Premium Raspberry Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",232,11,0.03%,0.04%,310,17,0.03%,0.05%,27.30%,0.00%,19,0,8.19%,0.00%,£242.36,£0.00,19,0
