SKU,Title,Sessions,Current_Units,Current_Conversion_%,Current_Revenue_£,Revenue_Opportunity_£
MONINS27 - 003 Prime,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,2252.0,237.0,10.52,3242.16,6785.28
RIC25D,"Yutaka Sushi Rice 500g (Pack of 6) | Premium Japanese Short-Grain Rice for Sushi & Onigiri | Perfect Sticky Texture & Natural Sweetness | Ideal for Sushi Making, Rice Bowls & Japanese Cuisine",1544.0,3.0,0.19,39.57,6581.81
UHT31B - 005 prime,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,2434.0,60.0,2.47,520.29,6346.44
UHT31B - 005,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,2434.0,14.0,0.58,114.1,6340.7
HEI32A - 001 Prime,HP Brown Sauce 2.3kg,1156.0,3.0,0.26,50.79,6314.89
ORI23 - 001,Mae Ploy Massaman Curry Paste - 400gram,2755.0,1.0,0.04,6.95,6220.25
BAR04A - 001 uk shipping,Yutaka Wasabi Peas 2kg | Crunchy Japanese Snack with Spicy Wasabi Kick – Gluten-Free,1024.0,1.0,0.1,18.57,6165.24
BAR04A - 001,Yutaka Wasabi Peas 2kg | Crunchy Japanese Snack with Spicy Wasabi Kick – Gluten-Free,1024.0,13.0,1.27,248.95,6128.0
UHT03 - 002 Prime,Kerrymaid Whipping UHT 1L,2253.0,1.0,0.04,8.21,6009.72
TAYLOR010 - 004 Prime,Taylors of Harrogate Lapsang Souchong Tea 20 Wrapped & Tagged Tea Bags (Pack of 3),1763.0,40.0,2.27,442.8,5911.38
ORI04C - 001,"Lee Kum Kee Hoisin Sauce, Vegan, 2.56 kg (Pack of 1)",1019.0,1.0,0.1,17.12,5649.6
UHT02C - 002,Cafe Maid Luxury Coffee Creamer Pots 12 ml (Pack of 120),1135.0,1.0,0.09,14.8,5446.4
PAS03 - 001,Triple Lion Professional Chef's Fusilli Twists 100% Durum Wheat Semolina Pasta 3kg,1844.0,61.0,3.31,601.05,5309.15
SAL02B - 001,Chef William Table Salt - 6kg,1322.0,8.0,0.61,96.48,5089.32
GIN02 - 002,"Yutaka Sushi Gari Pickled Ginger Non-Coloured – Premium Grade 1.6kg | Authentic Japanese Sushi Ginger | No Artificial Colouring | Vegan-Friendly & Ready to Serve|Ideal for Sushi, Sashimi & Bento Boxes",1673.0,1.0,0.06,9.21,5001.03
SAL02B - 001 Prime,Chef William Table Salt - 6kg,1322.0,45.0,3.4,568.35,4862.55
CAL03A - 010 Prime,"Callebaut Finest Belgian Milk Chocolate, 400 g",1043.0,8.0,0.77,114.32,4729.99
RUMMO008 - 009 Prime,"Rummo Rigatoni Pasta No.50 - Premium Italian Tube Pasta, Expertly Ridged for a Robust Sauce Retention, 500 g (Pack of 1)",2000.0,7.0,0.35,48.09,4424.28
BAK01 - 008 Prime,New Fermipan Instant Red Dried Yeast 500g,1658.0,3.0,0.18,23.58,4212.96
MONINS09,"MONIN Premium Green Mint Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours",1141.0,15.0,1.31,168.15,3990.76
FRU18E - 001,Opies Cocktail Cherries with Stems 950g Jar,1106.0,5.0,0.45,56.15,3986.65
BAK01 - 005,New Fermipan Instant Red Dried Yeast 500g,1658.0,2.0,0.12,14.48,3887.88
FRU18E - 001 Prime,Opies Cocktail Cherries with Stems 950g Jar,1106.0,40.0,3.62,476.0,3808.0
SAL21 - 002 Prime,"Le Guerandais Celtic Coarse Grey Sea Salt In 1kg Bags, Hand Harvested In Guerande/France",1262.0,9.0,0.71,65.43,2922.54
SAL21 - 002,"Le Guerandais Celtic Coarse Grey Sea Salt In 1kg Bags, Hand Harvested In Guerande/France",1262.0,33.0,2.61,221.76,2540.16
CLE04 - 001 Prime,Jantex Professional Kitchen Multi-Surface Cleaner and Sanitiser Spray - Odourless and Ready To Use | 750ml | Antibacterial BS EN 1276 | CF968,1142.0,42.0,3.68,311.22,2437.89
CLE04 - 001,Jantex Professional Kitchen Multi-Surface Cleaner and Sanitiser Spray - Odourless and Ready To Use | 750ml | Antibacterial BS EN 1276 | CF968,1142.0,21.0,1.84,141.54,2359.0
UHT03B - 001,Parkers Kerrymaid UHT Double Cream 1 Litre,1001.0,29.0,2.9,223.04,2283.93
UHT03B - 001 Prime,Parkers Kerrymaid UHT Double Cream 1 Litre,1001.0,99.0,9.89,832.88,1909.07
