parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,conversion_rate,avg_order_value,revenue_per_session,is_prime,sku_category
B01BTOSIQI,B01BTOSIQI,Nielsen-Massey Peppermint Extract 60 ml,ESS18 - 003 uk shipping,85,3,0.05,0.06,112,4,0.05,0.06,90.2,25.0,3,0,3.53,0.0,23.97,0.0,2,0,3.5294117647058822,7.989999999999999,0.282,False,ESS
B01DDG8LDK,B01DDG8LDK,"Callebaut Select W2 White Chocolate Callets, 1 kg",CAL04AA,621,15,0.35,0.32,844,23,0.37,0.36,12.29,7.14,2,0,0.32,0.0,48.56,0.0,2,0,0.322061191626409,24.28,0.07819645732689211,False,CAL
B01DYATT0E,B01DYATT0E,"Wooden Coffee Stirrers - Size 7 inches"" - Pack of 1000 Wood Stick Stirrer",DIS19 - 001,22,7,0.01,0.15,26,7,0.01,0.11,58.33,28.57,4,0,18.18,0.0,26.76,0.0,2,0,18.181818181818183,6.69,1.2163636363636365,False,DIS
B0F62V6SP5,B01EE3SDYS,Doves Farm | Gluten Free White Bread Flour | 3 x 1kg,FLO19B - 006 Prime,13,0,0.01,0.0,18,0,0.01,0.0,75.0,0.0,2,0,15.38,0.0,27.7,0.0,2,0,15.384615384615385,13.85,2.1307692307692307,True,FLO
B0F62V6SP5,B01EE3SDYS,Doves Farm | Gluten Free White Bread Flour | 3 x 1kg,FLO19B - 006,13,0,0.01,0.0,18,0,0.01,0.0,75.0,0.0,2,0,15.38,0.0,25.9,0.0,2,0,15.384615384615385,12.95,1.9923076923076921,False,FLO
B01EX16Z3C,B01EX16Z3C,( 6 Pack ) Chef William Baking Powder 800g,BAK06B - 003 Prime,2,0,0.0,0.0,2,0,0.0,0.0,100.0,0.0,2,0,100.0,0.0,58.64,0.0,2,0,100.0,29.32,29.32,True,BAK
B01H790DJY,B01H790DJY,Merchant Gourmet Polenta 500g (Pack of 3),CER03D - 003,7,0,0.0,0.0,10,0,0.0,0.0,100.0,0.0,2,0,28.57,0.0,21.98,0.0,2,0,28.57142857142857,10.99,3.14,False,CER
B01LZC3A8G,B01LZC3A8G,"Robert Scott CICS009G Microfibre Cloth, Contract, 40 cm x 40 cm, Green (Pack of 10)",CLOTHM001 - 001 Prime,78,4,0.04,0.09,123,8,0.05,0.12,9.17,0.0,2,0,2.56,0.0,17.52,0.0,2,0,2.564102564102564,8.76,0.2246153846153846,True,CLOTHM
B0CV151M43,B01MDQM51I,Brown Bag Crisps West Country Cheddar and Onion 40 g (Pack of 20),CRI34,48,0,0.03,0.0,76,0,0.03,0.0,83.58,0.0,2,0,4.17,0.0,36.18,0.0,2,0,4.166666666666666,18.09,0.75375,False,CRI
B01MQTYGSQ,B01MQTYGSQ,Bull-Dog Vegetable & Fruit Tonkatsu Sauce 16.9 Fl. Oz. 16.9 Fl Oz (Pack of 2),ORI85 - 005,31,4,0.02,0.09,38,5,0.02,0.08,8.33,0.0,2,0,6.45,0.0,25.38,0.0,2,0,6.451612903225806,12.69,0.8187096774193549,False,ORI
B01MSWWXF2,B01MSWWXF2,ESSENTIAL CUISINE - Lobster Glace - 600g,GLA01 - 004,31,3,0.02,0.06,45,4,0.02,0.06,31.43,0.0,2,0,6.45,0.0,63.94,0.0,2,0,6.451612903225806,31.97,2.0625806451612902,False,GLA
B06XH8128Q,B06XH8128Q,Monin Coffee Syrup in Tiramisu 70cl Glass Bottle & 70cl Monin Pump Set,BUNDLE015 - 001,56,0,0.03,0.0,71,0,0.03,0.0,24.24,0.0,2,0,3.57,0.0,38.76,0.0,2,0,3.571428571428571,19.38,0.6921428571428571,False,BUNDLE
B0CH1LNQ4Y,B06XHL3ZLF,Monin Coffee Syrup in Gingerbread 70cl Glass Bottle & 70cl Pump Set,BUNDLE022 - 001,128,1,0.07,0.02,137,1,0.06,0.02,45.63,0.0,2,0,1.56,0.0,38.76,0.0,2,0,1.5625,19.38,0.3028125,False,BUNDLE
B0C3PTSQYJ,B06XKL46LD,"SafeTouch 11211-XL Powder Free Blue Vinyl Gloves - Box of 100 - Extra Large,Blue",GLO16A - 003 Prime,40,1,0.02,0.02,48,1,0.02,0.02,18.6,0.0,2,0,5.0,0.0,13.96,0.0,2,0,5.0,6.98,0.34900000000000003,True,GLO
B0CBM1KDDG,B075SD49Y3,Callebaut Gold 30.4% - Finest Belgian Caramel Chocolate Chips (callets) 2.5kg,CAL32 - 001,39,2,0.02,0.04,49,2,0.02,0.03,27.27,100.0,2,0,5.13,0.0,122.22,0.0,2,0,5.128205128205128,61.11,3.1338461538461537,False,CAL
B076QJ5NRW,B076QJ5NRW,Dr. Oetker Scotbloc Milk Chocolate Flavoured Drops - 3kg (Single),OETKER012 - 002 Prime,55,1,0.03,0.02,70,1,0.03,0.02,37.1,0.0,4,2,7.27,200.0,143.96,71.98,2,1,7.2727272727272725,35.99,2.6174545454545455,True,OETKER
B0772P3ZV2,B0772P3ZV2,Macphie - OTT Chocolate Dessert Topping Sauce 500g,MAC03A - 001 Prime,21,2,0.01,0.04,26,2,0.01,0.03,86.96,100.0,4,0,19.05,0.0,30.44,0.0,2,0,19.047619047619047,7.61,1.4495238095238097,True,MAC
B0772P3ZV2,B0772P3ZV2,Macphie - OTT Chocolate Dessert Topping Sauce 500g,MAC03A - 001,21,2,0.01,0.04,26,2,0.01,0.03,86.96,100.0,2,0,9.52,0.0,13.86,0.0,2,0,9.523809523809524,6.93,0.6599999999999999,False,MAC
B077BT67GY,B077BT67GY,Essential Cuisine Premier Red Wine Jus - 1x1.2kg,JUS04,87,0,0.05,0.0,116,0,0.05,0.0,71.84,0.0,2,1,2.3,0.0,76.44,38.22,2,1,2.2988505747126435,38.22,0.8786206896551724,False,JUS
B077DNWFYD,B077DNWFYD,Belazu Balsamic Pearls 55 g (Pack of 5),VIN55 - 006,4,0,0.0,0.0,4,0,0.0,0.0,100.0,0.0,2,0,50.0,0.0,71.84,0.0,2,0,50.0,35.92,17.96,False,VIN
B0B7B633LM,B07D7DS53G,Tate & Lyle Rough Cut White Sugar Cubes 1kg,TATECU002 - 003,199,24,0.11,0.52,250,36,0.11,0.56,9.87,20.59,2,0,1.01,0.0,15.26,0.0,2,0,1.0050251256281406,7.63,0.07668341708542714,False,TATECU
B0B9FRDBF5,B07HNFTJ3J,Essential Cuisine Beef Glace 600g Conc St,GLA03 - 005,73,0,0.04,0.0,82,0,0.04,0.0,26.58,0.0,2,0,2.74,0.0,63.96,0.0,2,0,2.73972602739726,31.98,0.8761643835616438,False,GLA
B0CGD7669F,B07LBK7NLF,Divine Milk Chocolate - 35 g bars (Pack of 30),CHO60 - 001 Prime,48,3,0.03,0.06,57,4,0.02,0.06,4.44,0.0,2,0,4.17,0.0,65.38,0.0,2,0,4.166666666666666,32.69,1.3620833333333333,True,CHO
B07N7S2CNS,B07N7S2CNS,Essential Cuisine - No.1 Gravy - Savoury Gravy Mix (Vegetarian & Vegan) 1.5kg,GRA15,15,1,0.01,0.02,17,1,0.01,0.02,100.0,100.0,2,0,13.33,0.0,48.54,0.0,2,0,13.333333333333334,24.27,3.2359999999999998,False,GRA
B07N8DFWJZ,B07N8DFWJZ,Essential Cuisine - The Sauce Collection - Peppercorn Concentrated Sauce Base 800g,RTS16 - 001,31,1,0.02,0.02,37,1,0.02,0.02,48.48,0.0,3,0,9.68,0.0,95.97,0.0,2,0,9.67741935483871,31.99,3.095806451612903,False,RTS
B07QDB3FLX,B07QDB3FLX,"We Can Source It Ltd - Wrapmaster 4500 Cling Film – 45cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",WRA02 - 001 uk shipping,246,31,0.14,0.67,320,41,0.14,0.64,27.3,5.56,3,0,1.22,0.0,105.82,0.0,2,0,1.2195121951219512,35.27333333333333,0.4301626016260162,False,WRA
B0D157TLJV,B07R81BKGF,(Pack of 2) Sarson's Malt Vinegar (Plastic Bottle) - 300ml,VIN02F - 004,22,1,0.01,0.02,27,1,0.01,0.02,0.0,0.0,2,0,9.09,0.0,13.52,0.0,2,0,9.090909090909092,6.76,0.6145454545454545,False,VIN
B07RZKZ752,B07RZKZ752,Free & Easy Cheese Flavour Sauce Mi30g (Pack of 6),DEH05A - 006,5,0,0.0,0.0,5,0,0.0,0.0,100.0,0.0,2,0,40.0,0.0,40.8,0.0,2,0,40.0,20.4,8.16,False,DEH
B087RR6ZP3,B087RR6ZP3,500g Fermipan Yeast Instant Dried Yeast Baker Bakery Baking Bread Dough Catering,BAK01 - 009,1242,26,0.69,0.56,1959,34,0.85,0.53,0.0,0.0,2,0,0.16,0.0,14.48,0.0,2,0,0.1610305958132045,7.24,0.011658615136876006,False,BAK
B08BPC4VHF,B08BPC4VHF,Fentimans Mandarin & Seville Orange Jigger Drinks - 12x275ml,FENTIM007 - 001 Prime,3,0,0.0,0.0,3,0,0.0,0.0,66.67,0.0,2,0,66.67,0.0,45.98,0.0,2,0,66.66666666666666,22.99,15.326666666666666,True,FENTIM
B08BPCWQGT,B08BPCWQGT,Fentimans Ginger Beer Drinks - 12x275ml,FENTIM005 - 002 Prime,18,2,0.01,0.04,22,3,0.01,0.05,85.71,100.0,3,0,16.67,0.0,68.9,0.0,2,0,16.666666666666664,22.96666666666667,3.827777777777778,True,FENTIM
B08GGBFZC2,B08GGBFZC2,Opies Pink Peppercorns with Malt Vinegar - 6x105g,PEP06A - 002,3,0,0.0,0.0,3,0,0.0,0.0,100.0,0.0,2,0,66.67,0.0,33.18,0.0,2,0,66.66666666666666,16.59,11.06,False,PEP
B0C5ST2XLM,B08GGBZZ75,Dr Oetker Professional Baking Powder Gluten Free - 500g (Single),BAK06E - 001 Prime,51,1,0.03,0.02,53,1,0.02,0.02,73.33,0.0,2,0,3.92,0.0,15.4,0.0,2,0,3.9215686274509802,7.7,0.30196078431372547,True,BAK
B08PZJ4RRS,B08PZJ4RRS,Essential Cuisine Lamb Glace 600g,GLA07,9,0,0.01,0.0,11,0,0.0,0.0,70.0,0.0,2,0,22.22,0.0,61.36,0.0,2,0,22.22222222222222,30.68,6.817777777777778,False,GLA
B08WPMK3Z8,B08WPMK3Z8,Alpen The Original Muesli Sachets - 30x45g,CER25E - 002,54,4,0.03,0.09,77,4,0.03,0.06,18.06,25.0,2,1,3.7,25.0,30.28,15.14,2,1,3.7037037037037033,15.14,0.5607407407407408,False,CER
B0922WKBVR,B0922WKBVR,Gold Leaf Gelatine 1KG,BAK09 - 001 Prime,18,0,0.01,0.0,22,0,0.01,0.0,95.0,0.0,2,0,11.11,0.0,69.14,0.0,2,0,11.11111111111111,34.57,3.841111111111111,True,BAK
B0946RVHGV,B0946RVHGV,"Cif Professional Formula Oven & Grill - Fast Acting Cleaning Spray, 3 Packs of 750 ml",CIF003 - 001 Prime,37,0,0.02,0.0,47,0,0.02,0.0,34.88,0.0,2,0,5.41,0.0,30.16,0.0,2,0,5.405405405405405,15.08,0.8151351351351351,True,CIF
B095KJ6ZKK,B095KJ6ZKK,Ma Kombu (Dried Kelp) - 1st Grade 500G,ORI51D - 001,6,0,0.0,0.0,10,0,0.0,0.0,100.0,0.0,2,0,33.33,0.0,68.48,0.0,2,0,33.33333333333333,34.24,11.413333333333334,False,ORI
B09J8626R3,B09J8479G1,"Cream Of Tartar Premium Quality Suitable for Vegans, Non-GMO, Gluten Free (500g)",ING02 - 001,2,0,0.0,0.0,2,0,0.0,0.0,100.0,0.0,2,0,100.0,0.0,28.94,0.0,2,0,100.0,14.47,14.47,False,ING
B09S6PCQGZ,B09S6PCQGZ,Firefly Kiwi Lime & Mint - 12x330ml,FIREF003 - 003 Prime,16,0,0.01,0.0,18,0,0.01,0.0,83.33,0.0,2,0,12.5,0.0,45.88,0.0,2,0,12.5,22.94,2.8675,True,FIREF
B09VK54B29,B09VK54B29,Lee Kum Kee Premium Dark Soy Sauce 1.75L,SOY07 - 001,11,0,0.01,0.0,13,0,0.01,0.0,69.23,0.0,2,0,18.18,0.0,22.98,0.0,2,0,18.181818181818183,11.49,2.0890909090909093,False,SOY
B09W66RX26,B09W66RX26,Lion Premium Thai Sweet Chilli Sauce 2.27 Litres,LIO15 - 001,18,1,0.01,0.02,20,1,0.01,0.02,90.0,100.0,2,0,11.11,0.0,28.08,0.0,2,0,11.11111111111111,14.04,1.5599999999999998,False,LIO
B0B8BHCZXG,B0B8BHCZXG,MARMITE ORIGINAL 250G,HOT09A - 003,14,0,0.01,0.0,16,0,0.01,0.0,93.75,0.0,2,0,14.29,0.0,17.56,0.0,2,0,14.285714285714285,8.78,1.2542857142857142,False,HOT
B0BDM7G2JJ,B0BDM7G2JJ,Lion English Mustard 2.27Ltr,LIO01 - 001 Prime,9,0,0.01,0.0,14,0,0.01,0.0,100.0,0.0,2,0,22.22,0.0,31.5,0.0,2,0,22.22222222222222,15.75,3.5,True,LIO
B0BNFDBF3R,B0BNFTSW2F,Kerrymaid Double UHT 1L x 12,UHT03B - 003 Prime,11,0,0.01,0.0,12,0,0.01,0.0,100.0,0.0,2,0,18.18,0.0,95.88,0.0,2,0,18.181818181818183,47.94,8.716363636363637,True,UHT
B0BPMG1SZZ,B0BPMG1SZZ,Parkers Chilli Rice Crackers 1kg,BAR05 - 001,27,0,0.02,0.0,34,0,0.01,0.0,100.0,0.0,2,0,7.41,0.0,33.78,0.0,2,0,7.4074074074074066,16.89,1.251111111111111,False,BAR
B0B6QBZGPS,B0BVXWY6HK,Colman's Mustard Powder 454g x 1,COL09 - 007,22,1,0.01,0.02,28,1,0.01,0.02,100.0,100.0,2,0,9.09,0.0,31.54,0.0,2,0,9.090909090909092,15.77,1.4336363636363636,False,COL
B0BYT83S6X,B0BYT83S6X,South Downs Water 24 x 500ml Still Water (100% Recyclable Plastic Bottles),SOUTHD005 - 001 Prime,11,1,0.01,0.02,15,3,0.01,0.05,92.86,100.0,2,1,18.18,100.0,35.56,17.78,2,1,18.181818181818183,17.78,3.232727272727273,True,SOUTHD
B0C1BZFX4M,B0C1BZFX4M,Parkers Dried Apple Rings 1kg,DRI15 - 001 Prime,4,0,0.0,0.0,5,0,0.0,0.0,100.0,0.0,2,0,50.0,0.0,32.94,0.0,2,0,50.0,16.47,8.235,True,DRI
B0C69ZLJW3,B0C69ZLJW3,"Lenor Fabric Conditioner Summer Breeze 197 Washes, 3.92l",CLE66 - 008,31,0,0.02,0.0,57,0,0.02,0.0,0.0,0.0,2,0,6.45,0.0,30.24,0.0,2,0,6.451612903225806,15.12,0.9754838709677419,False,CLE
B0CB1RQVNP,B0CB1RQVNP,Fresher's No Added Sugar Orange Drink 5ltr,COR34A - 001,16,0,0.01,0.0,22,0,0.01,0.0,100.0,0.0,2,0,12.5,0.0,23.06,0.0,2,0,12.5,11.53,1.44125,False,COR
B0CCPJL4SC,B0CCPKSMC8,Busch Meringue Drops 100gm x 6,SWE03E - 002 Prime,56,1,0.03,0.02,64,1,0.03,0.02,98.36,0.0,2,0,3.57,0.0,30.56,0.0,2,0,3.571428571428571,15.28,0.5457142857142857,True,SWE
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009,222,3,0.12,0.06,293,4,0.13,0.06,93.02,100.0,2,0,0.9,0.0,37.98,0.0,2,0,0.9009009009009009,18.99,0.17108108108108105,False,B
B0CD881KVJ,B0CD881KVJ,Neilson Massey Extract Bundle of 6 Flavours,Bundle - 010 Prime,68,2,0.04,0.04,76,2,0.03,0.03,100.0,100.0,2,0,2.94,0.0,53.26,0.0,2,0,2.941176470588235,26.63,0.783235294117647,True,B
B0CFK15T8M,B0CFJY1Q48,Pom-Bear Crisps Potato Chips 36 X 19G Full | KV&C BRANDED BOX | (Original),CRI50 - 006,156,4,0.09,0.09,185,5,0.08,0.08,45.51,20.0,2,0,1.28,0.0,53.98,0.0,2,0,1.282051282051282,26.99,0.346025641025641,False,CRI
B0CKW68R3Z,B0CKW68R3Z,Belgogluc Confiserie Glucose Syrup 1kg,SYR06 - 001,19,1,0.01,0.02,26,1,0.01,0.02,100.0,100.0,2,1,10.53,100.0,14.46,7.23,2,1,10.526315789473683,7.23,0.7610526315789474,False,SYR
B0CLM75717,B0CLM7WBMJ,"Buchanan Dried Fruits (Pitted Prunes 3kg, Pack of 1)",DRIPRU001 - 001 Prime,10,0,0.01,0.0,17,0,0.01,0.0,78.57,0.0,2,0,20.0,0.0,45.98,0.0,2,0,20.0,22.99,4.598,True,DRIPRU
B0CLYLPM5D,B0CLYLPM5D,Brover Tinned Amarena Cherries 910gm (1),FRU17 - 001 Prime,20,0,0.01,0.0,25,0,0.01,0.0,100.0,0.0,2,0,10.0,0.0,30.4,0.0,2,0,10.0,15.2,1.52,True,FRU
B0CPJRP1FJ,B0CPJRP1FJ,QP Japanese Mayonnaise Condiment Sauce 450g (Pack of 2),MAY25A - 004,53,0,0.03,0.0,69,0,0.03,0.0,77.05,0.0,2,0,3.77,0.0,30.06,0.0,2,0,3.7735849056603774,15.03,0.5671698113207547,False,MAY
B0CPPVP3HC,B0CPPVP3HC,Belazu Pomegranate Molasses 250ml,MED16D - 001 Prime,7,0,0.0,0.0,7,0,0.0,0.0,85.71,0.0,2,0,28.57,0.0,28.05,0.0,2,0,28.57142857142857,14.025,4.007142857142857,True,MED
B0CPQ41L7M,B0CPQ41L7M,Parkers Dried Cranberries 1kg,DRI10A - 001,15,0,0.01,0.0,27,0,0.01,0.0,100.0,0.0,2,0,13.33,0.0,22.02,0.0,2,0,13.333333333333334,11.01,1.468,False,DRI
B0CPQ423L1,B0CPQ423L1,Brown Bag Oak Smoked Chilli Crisps and West Country Cheddar & Onion Crisps (2 Boxes),Crisps Bundle - 006 Prime,23,0,0.01,0.0,30,0,0.01,0.0,100.0,0.0,2,0,8.7,0.0,66.2,0.0,2,0,8.695652173913043,33.1,2.8782608695652177,True,C
B0CSDYTTTS,B0CSDYTTTS,Milfresh Skimmed Milk Powder 2kg (Pack of 2),MIL13 - 003 Prime,22,0,0.01,0.0,40,0,0.02,0.0,96.3,0.0,2,0,9.09,0.0,52.4,0.0,2,0,9.090909090909092,26.2,2.381818181818182,True,MIL
B0CTHTPXBG,B0CTHTPXBG,Centaur Vermouth Vinegar 500ml,VIN09 - 001 Prime,3,0,0.0,0.0,10,0,0.0,0.0,100.0,0.0,2,0,66.67,0.0,23.48,0.0,2,0,66.66666666666666,11.74,7.826666666666667,True,VIN
B0CTMYG2H5,B0CTMYG2H5,Lemon Wrap & Ties 1 x 100,NON90 - 001 Prime,6,0,0.0,0.0,10,0,0.0,0.0,100.0,0.0,6,1,100.0,0.0,214.8,35.8,2,1,100.0,35.800000000000004,35.800000000000004,True,NON
B0CTQQZLW5,B0CTQQZLW5,Nielsen Massey Vanilla Bean Paste 60ml (Pack of 2),VAN50A - 004,26,1,0.01,0.02,35,1,0.02,0.02,93.33,100.0,3,0,11.54,0.0,72.45,0.0,2,0,11.538461538461538,24.150000000000002,2.786538461538462,False,VAN
B0CTQRZLCW,B0CTQRZLCW,Dried Fermipan Yeast 500gm (Pack of 20),BAK01 - 007 Prime,1,0,0.0,0.0,1,0,0.0,0.0,100.0,0.0,2,1,200.0,0.0,142.54,71.27,2,1,200.0,71.27,142.54,True,BAK
B0CV15JC8M,B0CV15JC8M,Carte Dor Creme Brulee Mix 1.25kg (Pack of 2),DES15 - 002 Prime,21,3,0.01,0.06,25,4,0.01,0.06,95.83,100.0,2,1,9.52,33.33,73.32,36.66,2,1,9.523809523809524,36.66,3.491428571428571,True,DES
B0CVHHNB8D,B0CVHHXL6S,"Biona Pressed Carrot Juice 500ml (12, Beetroot)",JUI18A - 007 Prime,6,0,0.0,0.0,8,0,0.0,0.0,100.0,0.0,2,0,33.33,0.0,76.84,0.0,2,0,33.33333333333333,38.42,12.806666666666667,True,JUI
B0CVNBBHHG,B0CVMWVVX7,"Colavita Olive Oil (1, Colavita 100% Greek Extra Virgin Olive Oil)",COLAVI004 - 001 Prime,27,0,0.02,0.0,40,0,0.02,0.0,91.18,0.0,2,0,7.41,0.0,26.82,0.0,2,0,7.4074074074074066,13.41,0.9933333333333333,True,COLAVI
B0CVQJFJRY,B0CVQJFJRY,Caterers Pride Tomato Ketchup 4.3kg,CON12 - 001 Prime,20,0,0.01,0.0,22,0,0.01,0.0,90.48,0.0,2,0,10.0,0.0,24.94,0.0,2,0,10.0,12.47,1.247,True,CON
B0CW9SHF56,B0CW9TWK83,"Mona Lisa Chocolate Shavings 2.5kg (2 Boxes, Dark Chocolate)",DEC20 - 005 Prime,3,0,0.0,0.0,3,0,0.0,0.0,100.0,0.0,2,1,66.67,0.0,187.12,93.56,2,1,66.66666666666666,93.56,62.373333333333335,True,DEC
B0CWVM9MX5,B0CWVM9MX5,Neilson Massey Extract Bundle of 7 Flavours,Bundle - 043 Prime,10,0,0.01,0.0,12,0,0.01,0.0,100.0,0.0,2,0,20.0,0.0,60.5,0.0,2,0,20.0,30.25,6.05,True,B
B0CX64BD7H,B0CX64BD7H,"Parkers Wrapmaster 3000 Aluminium Foil Refill (Small) 3 x 90 metres (2 Boxes of 3 Rolls), 24C54",WRA03 - 003 Prime,3,2,0.0,0.04,3,2,0.0,0.03,100.0,100.0,5,4,166.67,200.0,408.27,337.88,2,1,166.66666666666669,81.654,136.09,True,WRA
B0CX942YXJ,B0CX942YXJ,Princes Rhubarb Solid Pack - 6x2.84kg,FRU04 - 004,9,0,0.01,0.0,10,0,0.0,0.0,100.0,0.0,2,0,22.22,0.0,120.98,0.0,2,0,22.22222222222222,60.49,13.442222222222222,False,FRU
B0CX9F986S,B0CX9F986S,Wrapmaster 3000 Cling Film 3 x 300m and Aluminium Foil 3 x 90m Refill Bundle,Y0-G2JM-O9VA,3,1,0.0,0.02,5,1,0.0,0.02,100.0,100.0,2,1,66.67,100.0,133.36,72.74,2,1,66.66666666666666,66.68,44.45333333333334,False,Y
B0CXDXG9TM,B0CXDXG9TM,Ariel Professional Washing Powder 5.5kg (Pack of 2),CLE22F - 002 Prime,14,1,0.01,0.02,16,1,0.01,0.02,81.25,100.0,2,2,14.29,200.0,123.6,123.6,2,2,14.285714285714285,61.8,8.828571428571427,True,CLE
B0CXQ5TT62,B0CXQ5TT62,Triple Lion - Plain Uncooked Poppadoms - 1kg (Pack of 3),ACC01 - 002 Prime,19,0,0.01,0.0,29,0,0.01,0.0,87.5,0.0,2,0,10.53,0.0,50.16,0.0,2,0,10.526315789473683,25.08,2.6399999999999997,True,ACC
B0D1CNKF54,B0D1CNKF54,Parkers Del Monte - Tinned MANGO Slices - 425gm,FRU16A - 001 Prime,39,0,0.02,0.0,46,0,0.02,0.0,100.0,0.0,2,0,5.13,0.0,12.76,0.0,2,0,5.128205128205128,6.38,0.3271794871794872,True,FRU
B0D2P77RYV,B0D2P6CZX2,Dawn - BANANA Compound - 1kg,COMPOU004 - 001 Prime,6,2,0.0,0.04,7,2,0.0,0.03,100.0,100.0,2,2,33.33,100.0,75.14,75.14,2,2,33.33333333333333,37.57,12.523333333333333,True,COMPOU
B0D2PCPCL2,B0D2P9SC5T,Dawn - Authentic PLAIN American COOKIE Mix - 3.5kg,DAWN3.5D - 001 Prime,7,1,0.0,0.02,12,1,0.01,0.02,100.0,0.0,2,0,28.57,0.0,37.86,0.0,2,0,28.57142857142857,18.93,5.408571428571428,True,DAWN
B0D2PCPCL2,B0D2PBJ2W1,Parkers Dawn - PLAIN Muffin Mix - 3.5kg,DAWN3.5 - 001 Prime,19,2,0.01,0.04,27,7,0.01,0.11,96.15,100.0,2,0,10.53,0.0,42.78,0.0,2,0,10.526315789473683,21.39,2.251578947368421,True,DAWN
B0D33TBRVH,B0D33QSSN9,Menz & Gasser - Jam Portions Bundle (Plastic) (Marmalade and Assorted 200 x 20gm),Bundle - 101 Prime,8,0,0.0,0.0,9,0,0.0,0.0,100.0,0.0,2,0,25.0,0.0,54.08,0.0,2,0,25.0,27.04,6.76,True,B
B0D33ZG5LJ,B0D33T6QBJ,"Alpro - Milk For Professionals - 1ltr (4, Soya)",ALP01 - 002 Prime,51,0,0.03,0.0,57,0,0.02,0.0,98.11,0.0,2,0,3.92,0.0,30.98,0.0,2,0,3.9215686274509802,15.49,0.6074509803921568,True,ALP
B0D4583BDS,B0D4583BDS,REGGIA - Cannelloni Tubes - 2 x 250gm,50-Q457-MT7D,9,0,0.01,0.0,12,0,0.01,0.0,81.82,0.0,2,0,22.22,0.0,14.78,0.0,2,0,22.22222222222222,7.39,1.6422222222222222,False,
B0D5D7ZHMC,B0D5D9PKPN,"Firefly (12 x 330ml, POMEGRANATE & ELDERFLOWER)",FIREF002 - 003 Prime,8,0,0.0,0.0,15,0,0.01,0.0,64.29,0.0,2,0,25.0,0.0,45.88,0.0,2,0,25.0,22.94,5.735,True,FIREF
B0D5MS31WG,B0D5MS31WG,Meadowchurn - UHT Aerosol Cream - 500gm (CASE OF 6),UHT05 - 002 Prime,12,1,0.01,0.02,14,2,0.01,0.03,100.0,100.0,3,1,25.0,100.0,102.15,34.05,2,1,25.0,34.050000000000004,8.512500000000001,True,UHT
B0D6NG7V9K,B0D6NG7V9K,Belazu - Preserved Beldi Pickled Lemons - 360gm,MED19B - 010 Prime,14,0,0.01,0.0,17,0,0.01,0.0,94.12,0.0,2,0,14.29,0.0,15.94,0.0,2,0,14.285714285714285,7.97,1.1385714285714286,True,MED
B0D73RCX8Y,B0D73RCX8Y,Neilson Massey Extract Bundle of 8 Flavours,Bundle - 148 Prime,36,1,0.02,0.02,50,1,0.02,0.02,100.0,100.0,2,0,5.56,0.0,75.78,0.0,2,0,5.555555555555555,37.89,2.105,True,B
B0D7J2LZYN,B0D7J3Q6TG,"Cambrook (1kg, Dry Roasted Peanuts)",CAMBR010 - 003 Prime,10,0,0.01,0.0,20,0,0.01,0.0,100.0,0.0,2,0,20.0,0.0,24.78,0.0,2,0,20.0,12.39,2.478,True,CAMBR
B0D7J2LZYN,B0D7J5LB7D,"Cambrook (1kg, Nuts with Chilli and Lime)",CAMBR013 - 003 Prime,10,0,0.01,0.0,12,0,0.01,0.0,100.0,0.0,2,0,20.0,0.0,41.84,0.0,2,0,20.0,20.92,4.184,True,CAMBR
B0D7MTF8CB,B0D7MTF8CB,Meritena Maize Corn Flour (Sack) 25kg,FLO05DA - 001,4,1,0.0,0.02,4,1,0.0,0.02,100.0,100.0,3,3,75.0,300.0,107.07,107.07,2,2,75.0,35.69,26.7675,False,FLO
B0D8TL2GTN,B0D8TL2GTN,Bottlegreen Plump Summer Raspberry Cordial 500ml,COR52 - 001 Prime,48,1,0.03,0.02,57,1,0.02,0.02,98.15,100.0,2,0,4.17,0.0,18.34,0.0,2,0,4.166666666666666,9.17,0.38208333333333333,True,COR
B0D9HMD78B,B0D9HMD78B,Ready Brek Original 750gm (Pack of 2),F6-5ZX6-SKG8,8,0,0.0,0.0,15,0,0.01,0.0,0.0,0.0,2,0,25.0,0.0,27.78,0.0,2,0,25.0,13.89,3.4725,False,F
B0D9HRLYZ8,B0D9HRLYZ8,Ready Brek Original 750gm (Pack of 10),CER27 - 003 Prime,8,0,0.0,0.0,8,0,0.0,0.0,100.0,0.0,2,0,25.0,0.0,99.7,0.0,2,0,25.0,49.85,12.4625,True,CER
B0DBM88GSP,B0DBM88GSP,Chef William - Panko Breadcrumbs - 1kg,PANKO003 - 001 Prime,10,3,0.01,0.06,11,3,0.0,0.05,100.0,100.0,2,0,20.0,0.0,14.9,0.0,2,0,20.0,7.45,1.49,True,PANKO
