parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,is_prime,base_sku,sku_category,conversion_rate,avg_order_value,revenue_per_session,buy_box_win_rate,high_conversion,high_revenue
B076QJYTZ5,B076QJYTZ5,Dr. Oetker Scotbloc White Chocolate Flavoured Drops - 3kg (single),OETKER011 - 003 Prime,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,33.54,33.54,1,1,True,OETKER011,OETKER,0.0,33.54,0.0,0.0,False,False
B077BCHY34,B077BCHY34,Opies Black Cherry Compote - 1x1.2kg_AB,COMPOT01 - 001,1,0,0.11,0.0,1,0,0.08,0.0,100.0,0.0,1,0,100.0,0.0,14.22,0.0,1,0,False,COMPOT01 - 001,COMPOT,100.0,14.22,14.22,100.0,False,False
B078ZYS55Y,B078ZYS55Y,Taylors of Harrogate | Naturally Caffeine Free Lemon & Ginger Infusion - 6 x 20 Tea Bags (240 Gr),TAYLOR001 - 004,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,19.98,0.0,1,0,False,TAYLOR001 - 004,TAYLOR,0.0,19.98,0.0,0.0,False,False
B0B9FRDBF5,B07HNFTJ3J,Essential Cuisine Beef Glace 600g Conc St,GLA03 - 005,5,0,0.53,0.0,6,0,0.48,0.0,33.33,0.0,1,0,20.0,0.0,31.98,0.0,1,0,False,GLA03 - 005,GLA,20.0,31.98,6.396,33.33,False,False
B07PF7X2DP,B07PF7X2DP,"We Can Source It Ltd - Wrapmaster 3000 Cling Film – 30cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",WRA01 - 003,6,0,0.64,0.0,6,0,0.48,0.0,0.0,0.0,1,0,16.67,0.0,27.88,0.0,1,0,False,WRA01 - 003,WRA,16.666666666666664,27.88,4.6466666666666665,0.0,False,False
B07QD1ZTJ4,B07QD1ZTJ4,Dorri - Borettane Onions in Balsamic Vinegar (Pickled Onions) 2.5kg,MED32B - 003,1,0,0.11,0.0,3,0,0.24,0.0,0.0,0.0,1,0,100.0,0.0,17.34,0.0,1,0,False,MED32B - 003,MED,100.0,17.34,17.34,0.0,False,False
B07QM1Y6Z1,B07QM1Y6Z1,"Ktc White Vinegar 5 Litre - Perfect For Pickling, Cleaning, Baking, Marinades And Sauces And Cheese Making - 5 Litre Bottle - Produced In The Uk (1 Pack)",VIN31A - 002,3,0,0.32,0.0,6,0,0.48,0.0,100.0,0.0,2,0,66.67,0.0,17.56,0.0,1,0,False,VIN31A - 002,VIN,66.66666666666666,8.78,5.853333333333333,100.0,False,False
B07SSCJ7JR,B07SSCJ7JR,"Monin Chai Tea Coffee & Cocktail Syrup Glass Bottle 700ml (1 Bottle, No Pump)",MONINS07I,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,13.97,0.0,1,0,False,MONINS07I,MONINS,0.0,13.97,0.0,0.0,False,False
B07SWQDHX3,B07SWQDHX3,"Monin Honeycomb Coffee & Cocktail Syrup Plastic Bottle 1 Litre (1 Bottle, No Pumps)",MONIN21A,2,0,0.21,0.0,2,0,0.16,0.0,100.0,0.0,1,0,50.0,0.0,15.5,0.0,1,0,False,MONIN21A,MONIN,50.0,15.5,7.75,100.0,False,False
B0CV151M43,B07ZB5K9ZD,Brown Bag Crisps - Rosemary and Sea Salt 40g (Pack of 20),KY-B3GZ-JQ9Y,5,0,0.53,0.0,9,0,0.72,0.0,77.78,0.0,1,0,20.0,0.0,19.15,0.0,1,0,False,KY-B3GZ-JQ9Y,KY,20.0,19.15,3.8299999999999996,77.78,False,False
B08562KZ6G,B08562KZ6G,Sosa - Soy Lecithin Powder - 400g,SOSALE001 - 001,4,0,0.43,0.0,5,0,0.4,0.0,40.0,0.0,1,0,25.0,0.0,28.31,0.0,1,0,False,SOSALE001 - 001,SOSALE,25.0,28.31,7.0775,40.0,False,False
B085PN6X4C,B085PN6X4C,"Valrhona Cocoa Powder 100%, 8.2 oz",VALRHO002 - 003 Prime,2,0,0.21,0.0,4,0,0.32,0.0,100.0,0.0,1,0,50.0,0.0,16.39,0.0,1,0,True,VALRHO002,VALRHO,50.0,16.39,8.195,100.0,False,False
B085S732DW,B085S732DW,Triple Lion Professional Chef's Fusilli Twists 100% Durum Wheat Semolina Pasta 3kg,PAS03 - 001,29,1,3.09,2.17,35,1,2.79,1.54,0.0,0.0,1,0,3.45,0.0,9.85,0.0,1,0,False,PAS03 - 001,PAS,3.4482758620689653,9.85,0.3396551724137931,0.0,False,False
B085W3HF4M,B085W3HF4M,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,PAS06 - 001,7,0,0.75,0.0,7,0,0.56,0.0,14.29,0.0,1,0,14.29,0.0,9.86,0.0,1,0,False,PAS06 - 001,PAS,14.285714285714285,9.86,1.4085714285714286,14.29,False,False
