SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
PUL10 - 002,Centaur Dried Borlotti Beans 1 kg – Pack of 10 | Canadian Cranberry Beans for Cooking & Meal Prep,2.0,1.0,50.0,50.99,50.99
GLO21A - 003 Prime,Safetouch Black Nirtile Powder Free Disposable Gloves - Pack of 100 (Large),6.0,3.0,50.0,24.27,8.09
MILLER002 - 001,Parkers Best of the Miller's Crackers for Cheese,2.0,1.0,50.0,31.6,31.6
SPICIN001 - 001,Triple Lion Ground Cinnamon 430g,2.0,1.0,50.0,7.73,7.73
DRIDAT001 - 003 Prime,"Buchanan Dried Fruits (Whole Pitted Dates 3kg, Pack of 4)",2.0,1.0,50.0,37.35,37.35
BUT25 - 005,Whirl Butter Substitute 4ltr (Pack of 5),2.0,1.0,50.0,99.53,99.53
Bundle - 014 Prime,"OTT Dessert Topping Sauces (OTT Strawberry, Chocolate)",4.0,2.0,50.0,20.26,10.13
MUS001Aa - 001,Chefs Brigade Dried Mixed Mushrooms 400g,16.0,8.0,50.0,148.64,18.58
LIO09 - 001 Prime,Lion - PRAWN Cocktail Sauce - 2.27ltr (1),30.0,15.0,50.0,202.2,13.48
UHT01BB - 002 Prime,Meadowchurn - UHT SEMI SKIMMED Milk Portions - 150 x 13.5ml (BBE 11/08/2025),20.0,10.0,50.0,120.4,12.04
CLE16 - 001 Prime,Core - Urinal Blocks - 3kg,16.0,8.0,50.0,190.16,23.77
MIL07B - 006,"Nestle Carnation, Condensed Milk 397G",8.0,4.0,50.0,27.28,6.82
TWIN002 - 011, ,2.0,1.0,50.0,24.49,24.49
G4-Q2AQ-B7B0,Caterers Pride - Tinned FRUIT COCKTAIL Mix In Syrup - 2.5kg (Pack of 6),10.0,5.0,50.0,258.15,51.63
SPR26B - 002 Prime,Sun Pat - CRUNCHY Peanut Butter - 1kg - (Pack of 3),4.0,2.0,50.0,60.12,30.06
STU07 - 003 Prime,Our Earth - Gluten Free Sage & Onion Stuffing - 2kg (2),10.0,5.0,50.0,164.9,32.98
CUS04 - 003 Prime,Birds Custard Powder - 4x3kg,4.0,2.0,50.0,159.3,79.65
CER03H - 006,Merchant Gourmet Polenta 500g (Pack of 12),4.0,2.0,50.0,53.98,26.99
CON02C - 002 Prime,Hartleys Redcurrant Jelly - 2x3.18kg,10.0,5.0,50.0,141.65,28.33
NON20A - 001 Prime,Vogue Muslin Cloth 99cm x 10m,2.0,1.0,50.0,34.21,34.21
Bundle - 199 Prime,"Rummo Premium Italian (3 x 500g, Long Pasta Lovers Bundle)",2.0,1.0,50.0,13.02,13.02
STU01A - 001,Chef William Sage & Onion Stuffing 3kg,40.0,20.0,50.0,253.6,12.68
GLOVEY001 - 001 Prime,Ramon Proguard Medium Rubber Gloves 10 x Pair,2.0,1.0,50.0,10.43,10.43
FRU02A - 002,"Caterers Pride Tinned Fruits (Pear Halves In Syrup 2.6kg, Pack of 6)",2.0,1.0,50.0,46.65,46.65
MUSTAR006 - 001 Prime,Cavalier - Old Style WHOLEGRAIN Mustard - 1kg - (WHITE Tub),16.0,8.0,50.0,79.2,9.9
ESS16 - 005 Prime,"Nielsen Massey 60ml (8, ORANGE Extract)",2.0,1.0,50.0,33.07,33.07
ESS18 - 004 Prime,"Nielsen Massey 60ml (8, PEPPERMINT Extract)",2.0,1.0,50.0,33.19,33.19
CUP25AA - 001 Prime,Black Coffee Cup Lid 1000 x 12oz,2.0,1.0,50.0,41.11,41.11
NON90 - 001 Prime,Lemon Wrap & Ties 1 x 100,16.0,8.0,50.0,279.34,34.92
JAM03B - 008 Prime,"Menz & Gasser - Jam Portions (Plastic) (400 x 20gm, Assorted)",4.0,2.0,50.0,99.08,49.54
CORECH009 - 002,CORE - Machine Glass Wash Liquid - 5ltr (2),2.0,1.0,50.0,18.76,18.76
CORESA008 - 002 Prime,Parkers CORE - Black Pepper Sachets - 1 x 2000 (Pack of 2),2.0,1.0,50.0,27.79,27.79
COMPOT01 - 002,Opies Black Cherry Compote - 4x1.2kg,16.0,8.0,50.0,364.08,45.51
TATECA002 - 001,Tate and Lyle Fairtrade Caster Sugar 25 kg,137.0,68.0,49.64,2288.7,33.66
PIC05A - 002 Prime,Seasoners Traditional Pickled Onions 2.25kg (Pack of 2),63.0,31.0,49.21,681.69,21.99
GRA05 - 001 Prime,1 x 2kg Beef Gravy Granules Suitable For Vegetarians,29.0,14.0,48.28,247.38,17.67
