(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0F4KN5GBN,B0F4KN5GBN,Osprio Giant Cous Cous 1kg,OSPRIO021 - 001 Prime,6,0,0.02%,0.00%,7,0,0.01%,0.00%,100.00%,0.00%,4,0,66.67%,0.00%,£31.76,£0.00,4,0
B0FHJ2FHL6,B0FHJ2FHL6,Belazu Black Spaghetti Pasta 500 g,PAS66 - 001 Prime,19,0,0.05%,0.00%,24,0,0.05%,0.00%,90.91%,0.00%,5,0,26.32%,0.00%,£49.20,£0.00,4,0
B0FKTJRN56,B0FKTJRN56,Triple Lion Plain Uncooked Urid Flour Poppadoms – 1kg Box – Classic Ready-to-Cook Indian-Style Poppadoms,ACC01 - 005 Prime,6,0,0.02%,0.00%,7,0,0.01%,0.00%,100.00%,0.00%,5,0,83.33%,0.00%,£64.95,£0.00,4,0
B0FL2YV9RR,B0FL2YV9RR,"Callebaut Fine Hazelnut Praline Paste – 1 kg Bucket – 50% Hazelnuts – Smooth Caramelised Nut Paste for Chocolates, Mousse & Pastries",BAK13 - 002,58,0,0.15%,0.00%,74,0,0.15%,0.00%,97.14%,0.00%,4,0,6.90%,0.00%,£86.96,£0.00,4,0
B003U4LPG6,B003U4LPG6,j leblanc Champagne Vinegar 50cl,VIN24,14,0,0.04%,0.00%,16,0,0.03%,0.00%,100.00%,0.00%,3,0,21.43%,0.00%,£41.67,£0.00,3,0
B0D1QKM8LL,B006VD14BO,Mae Ploy Masaman Curry Paste 400 g (Pack of 4),ORI23 - 002 Prime,6,0,0.02%,0.00%,8,0,0.02%,0.00%,66.67%,0.00%,3,0,50.00%,0.00%,£46.35,£0.00,3,0
B082YPRCFS,B007OTVFOA,Hikari Shinshu Awase Miso 1 Kg (Pack of 2),ORI52B - PRIME,17,0,0.04%,0.00%,20,0,0.04%,0.00%,84.21%,0.00%,4,0,23.53%,0.00%,£52.52,£0.00,3,0
B00BIEE34Q,B00BIEE34Q,BÚghin Say La Perruche Pure Cane White Rough Cut Cubes 1kg SUWH1K,SUG16 - 003 Prime,3,2,0.01%,0.24%,3,2,0.01%,0.19%,66.67%,50.00%,3,1,100.00%,50.00%,£28.14,£9.38,3,1
B00CXLMCSW,B00CXLMCSW,"Wrapmaster Number 4500 Cling Film Rolls, Pack of 3",WRA02 - 003,6,2,0.02%,0.24%,6,2,0.01%,0.19%,16.67%,0.00%,4,0,66.67%,0.00%,£137.60,£0.00,3,0
B00HJVB6YC,B00HJVB6YC,Cooks & Co Chopped Garlic in Oil 1.2kg (Drained Weight 0.95g),GAR02A - 001,18,0,0.05%,0.00%,23,0,0.05%,0.00%,100.00%,0.00%,3,0,16.67%,0.00%,£42.63,£0.00,3,0
B00JMHTD50,B00JMHTD50,Chef William Baking Powder 1 x 800g,BAK06B - 001,4,1,0.01%,0.12%,4,1,0.01%,0.10%,75.00%,100.00%,5,3,125.00%,300.00%,£42.50,£25.50,3,1
B00ORA87OU,B00ORA87OU,Lyle's Black Treacle 7.25kg,TATESY002 - 003,9,0,0.02%,0.00%,12,0,0.02%,0.00%,100.00%,0.00%,5,0,55.56%,0.00%,£125.65,£0.00,3,0
B00VC5BO9I,B00VC5BO9I,Crusha Banana Milkshake Flavouring - 2 x 1L,CRUSHA001 - 005 Prime,7,0,0.02%,0.00%,9,0,0.02%,0.00%,88.89%,0.00%,3,0,42.86%,0.00%,£45.96,£0.00,3,0
B01122TCFI,B01122TCFI,Bottlegreen Lemongrass with Ginger Cordial (500ml) - Pack of 2,COR51 - 001 Prime,4,0,0.01%,0.00%,5,0,0.01%,0.00%,80.00%,0.00%,3,0,75.00%,0.00%,£52.44,£0.00,3,0
B01AAABOZE,B01AAABOZE,Callebaut Select Dark Chocolate Baking Callets 1 kg,CAL02A - 009 One Day,114,2,0.29%,0.24%,154,4,0.31%,0.39%,23.19%,0.00%,3,0,2.63%,0.00%,£59.70,£0.00,3,0
B01BNJ7OEQ,B01BNJ7OEQ,Tate and Lyle Caster Sugar 25 kg,TATECA002 - 002,15,2,0.04%,0.24%,22,6,0.04%,0.58%,86.36%,100.00%,5,3,33.33%,150.00%,£181.45,£109.47,3,1
B0713SQ7VP,B0713SQ7VP,Middleton Foods Tikka Meat Glaze Marinade Seasoning Mix 2.5kg,POW08 - 003,13,0,0.03%,0.00%,15,0,0.03%,0.00%,100.00%,0.00%,3,0,23.08%,0.00%,£68.97,£0.00,3,0
B071DQ4MLW,B071DQ4MLW,Middleton Foods Garden Mint Meat Glaze Marinade Seasoning Mix 2.5kg,POW02 - 002 Prime,30,0,0.08%,0.00%,43,0,0.09%,0.00%,57.14%,0.00%,3,0,10.00%,0.00%,£76.47,£0.00,3,0
B071YQBYWK,B071YQBYWK,Middleton Foods Pepper Steak Meat Glaze Marinade Seasoning Mix 2.5kg,POW10 - 001 Prime,18,1,0.05%,0.12%,22,1,0.04%,0.10%,86.36%,0.00%,3,0,16.67%,0.00%,£71.97,£0.00,3,0
B077B43VD5,B077B43VD5,"Heinz Malt Vinegar, 250ml (Case 6)",HEI44 - 001 - Prime,30,0,0.08%,0.00%,36,0,0.07%,0.00%,81.82%,0.00%,4,0,13.33%,0.00%,£45.40,£0.00,3,0
B077Q4RCD6,B077Q4RCD6,delisupplies 3 Rolls Wrapmaster 4500 Aluminium Foil Refill Rolls 90M x 45cm Great Value,WRA04 - 003,7,1,0.02%,0.12%,7,1,0.01%,0.10%,100.00%,0.00%,4,0,57.14%,0.00%,£209.72,£0.00,3,0
B079H1QM33,B079H1QM33,"Saver Bundle Callebaut, Milk & 54% Dark Chocolate Chips (2 x 2.5kg Bundle)",CAL99,19,4,0.05%,0.49%,22,4,0.04%,0.39%,85.00%,33.33%,3,0,15.79%,0.00%,£219.15,£0.00,3,0
B0B9FRDBF5,B07HNFTJ3J,Essential Cuisine Beef Glace 600g Conc St,GLA03 - 005,27,0,0.07%,0.00%,37,0,0.07%,0.00%,29.03%,0.00%,3,0,11.11%,0.00%,£95.58,£0.00,3,0
B07PF88F7L,B07PF88F7L,"We Can Source It Ltd - Wrapmaster 4500 Kitchen Foil - Aluminium Foil - Foil Wrap - For Catering, Packing, Cooking, Baking, Roasting - Foil Paper - Multipurpose Silver Foil Wrap - 45cm x 90m - Box of 3",WRA04 - 002,14,3,0.04%,0.37%,16,5,0.03%,0.49%,50.00%,0.00%,3,0,21.43%,0.00%,£157.29,£0.00,3,0
B0C3WPQ1NS,B07PN6YHPP,"Belazu Rose Harissa Paste, 170 g, Pack of 2",SPI12AA - 003,26,0,0.07%,0.00%,30,0,0.06%,0.00%,100.00%,0.00%,3,0,11.54%,0.00%,£36.21,£0.00,3,0
B07QFF7JLS,B07QFF7JLS,We Can Source It Ltd - 3 Rolls of Wrapmaster 4500 Catering Baking Parchment Refills 45cm x 50m for Home and Commercial Kitchens,WRA06 - 002,10,2,0.03%,0.24%,13,3,0.03%,0.29%,45.45%,100.00%,3,2,30.00%,100.00%,£94.20,£62.80,3,2
B07ZPDM3VZ,B07XQP1L9V,Colavita Extra Virgin Olive Oil 750Ml,COLAVI005 - 003,16,0,0.04%,0.00%,17,0,0.03%,0.00%,94.12%,0.00%,3,0,18.75%,0.00%,£45.78,£0.00,3,0
B07YFM83VC,B07YFM83VC,"Gochujang Korean Hot Pepper Paste with Sun-Dried Red Chillies, 2 Pack Bundle, No preservatives, No MSG, No Colours - Sweet Things UK TM",ORI70A - 004,13,0,0.03%,0.00%,16,0,0.03%,0.00%,93.75%,0.00%,3,0,23.08%,0.00%,£37.78,£0.00,3,0
B085W3HF4M,B085W3HF4M,Triple Lion Professional Chef's Macaroni Elbows 100% Durum Wheat Semolina Pasta 3kg,PAS06 - 001 Prime,50,2,0.13%,0.24%,62,3,0.12%,0.29%,75.00%,100.00%,3,0,6.00%,0.00%,£38.37,£0.00,3,0
B086QSFC3C,B086QSFC3C,Freshers Lime 5ltr Juice Cordial,COR20A - 001,11,1,0.03%,0.12%,14,3,0.03%,0.29%,84.62%,0.00%,3,0,27.27%,0.00%,£35.40,£0.00,3,0
B0BGWW7M51,B086XM7511,"Coca Cola Diet Coke Glass, Pack of 24x330 ml",BOT21 - 001,6,2,0.02%,0.24%,8,2,0.02%,0.19%,85.71%,50.00%,4,2,66.67%,100.00%,£157.68,£78.84,3,1
B08FRQKBDB,B08FRQKBDB,Triple Lion Haricot Beans - 1x3kg,PUL08,33,1,0.08%,0.12%,50,1,0.10%,0.10%,25.53%,0.00%,3,0,9.09%,0.00%,£42.84,£0.00,3,0
B08TMMR32J,B08TMMR32J,Caperberries in Brine 1.58KG Lefktro,CAP03A,13,0,0.03%,0.00%,17,0,0.03%,0.00%,66.67%,0.00%,3,0,23.08%,0.00%,£44.97,£0.00,3,0
B08WHKR88F,B08WHKR88F,Tonka Beans 250g Centaur,KZ-ITK0-EINK uk shipping,7,2,0.02%,0.24%,9,2,0.02%,0.19%,100.00%,100.00%,5,4,71.43%,200.00%,£122.05,£97.64,3,2
B08WPMK3Z8,B08WPMK3Z8,Alpen The Original Muesli Sachets - 30x45g,CER25E - 002 Prime,20,3,0.05%,0.37%,25,4,0.05%,0.39%,16.00%,0.00%,4,0,20.00%,0.00%,£63.28,£0.00,3,0
B095WLCK5T,B095WLCK5T,Callebaut | Gold | 30.4% Finest Belgian Caramel Chocolate Couverture (Callets) | 400g,CAL32A - 002,27,0,0.07%,0.00%,34,0,0.07%,0.00%,65.63%,0.00%,3,0,11.11%,0.00%,£40.47,£0.00,3,0
